name,player_url,card_url,collect
Vladimir Guerrero,https://www.tcdb.com/Person.cfm/pid/2290/col/Y/yea/0/Vladimir-Guerrero?sTeam=&sCardNum=&sNote=&sSetName=Topps&sBrand=,/ViewCard.cfm/sid/803/cid/148335/1996-Topps-435-Brian-Banks-/-Vladimir-Guerrero-/-Andruw-Jones-/-Billy-McMillon,1
Vladimir Guerrero,https://www.tcdb.com/Person.cfm/pid/2290/col/Y/yea/0/Vladimir-Guerrero?sTeam=&sCardNum=&sNote=&sSetName=Topps&sBrand=,/ViewCard.cfm/sid/1048/cid/164308/1997-Topps-433-Vladimir-Guerrero,1
Vladimir Guerrero,https://www.tcdb.com/Person.cfm/pid/2290/col/Y/yea/0/Vladimir-Guerrero?sTeam=&sCardNum=&sNote=&sSetName=Topps&sBrand=,/ViewCard.cfm/sid/1238/cid/178265/1998-Topps-5-Vladimir-Guerrero,1
Vladimir Guerrero,https://www.tcdb.com/Person.cfm/pid/2290/col/Y/yea/0/Vladimir-Guerrero?sTeam=&sCardNum=&sNote=&sSetName=Topps&sBrand=,/ViewCard.cfm/sid/1340/cid/234795/1999-Topps-62-Vladimir-Guerrero,1
Vladimir Guerrero,https://www.tcdb.com/Person.cfm/pid/2290/col/Y/yea/0/Vladimir-Guerrero?sTeam=&sCardNum=&sNote=&sSetName=Topps&sBrand=,/ViewCard.cfm/sid/1340/cid/235260/1999-Topps-458-Vladimir-Guerrero-/-Greg-Vaughn-/-Bernie-Williams,0
Vladimir Guerrero,https://www.tcdb.com/Person.cfm/pid/2290/col/Y/yea/0/Vladimir-Guerrero?sTeam=&sCardNum=&sNote=&sSetName=Topps&sBrand=,/ViewCard.cfm/sid/1411/cid/251554/2000-Topps-181-Vladimir-Guerrero,1
Vladimir Guerrero,https://www.tcdb.com/Person.cfm/pid/2290/col/Y/yea/0/Vladimir-Guerrero?sTeam=&sCardNum=&sNote=&sSetName=Topps&sBrand=,/ViewCard.cfm/sid/1486/cid/279914/2001-Topps-300-Vladimir-Guerrero,1
Vladimir Guerrero,https://www.tcdb.com/Person.cfm/pid/2290/col/Y/yea/0/Vladimir-Guerrero?sTeam=&sCardNum=&sNote=&sSetName=Topps&sBrand=,/ViewCard.cfm/sid/1562/cid/303188/2002-Topps-100-Vladimir-Guerrero,1
Vladimir Guerrero,https://www.tcdb.com/Person.cfm/pid/2290/col/Y/yea/0/Vladimir-Guerrero?sTeam=&sCardNum=&sNote=&sSetName=Topps&sBrand=,/ViewCard.cfm/sid/1642/cid/32519/2003-Topps-170-Vladimir-Guerrero,1
Vladimir Guerrero,https://www.tcdb.com/Person.cfm/pid/2290/col/Y/yea/0/Vladimir-Guerrero?sTeam=&sCardNum=&sNote=&sSetName=Topps&sBrand=,/ViewCard.cfm/sid/1642/cid/32692/2003-Topps-343-National-League-Batting-Average-Leaders,0
Vladimir Guerrero,https://www.tcdb.com/Person.cfm/pid/2290/col/Y/yea/0/Vladimir-Guerrero?sTeam=&sCardNum=&sNote=&sSetName=Topps&sBrand=,/ViewCard.cfm/sid/1642/cid/33064/2003-Topps-715-Vladimir-Guerrero,0
Vladimir Guerrero,https://www.tcdb.com/Person.cfm/pid/2290/col/Y/yea/0/Vladimir-Guerrero?sTeam=&sCardNum=&sNote=&sSetName=Topps&sBrand=,/ViewCard.cfm/sid/1727/cid/210729/2004-Topps-380-Vladimir-Guerrero,1
Vladimir Guerrero,https://www.tcdb.com/Person.cfm/pid/2290/col/Y/yea/0/Vladimir-Guerrero?sTeam=&sCardNum=&sNote=&sSetName=Topps&sBrand=,/ViewCard.cfm/sid/1824/cid/211274/2005-Topps-150-Vladimir-Guerrero,1
Vladimir Guerrero,https://www.tcdb.com/Person.cfm/pid/2290/col/Y/yea/0/Vladimir-Guerrero?sTeam=&sCardNum=&sNote=&sSetName=Topps&sBrand=,/ViewCard.cfm/sid/1824/cid/211461/2005-Topps-337-Ichiro-Suzuki-/-Melvin-Mora-/-Vladimir-Guerrero,0
Vladimir Guerrero,https://www.tcdb.com/Person.cfm/pid/2290/col/Y/yea/0/Vladimir-Guerrero?sTeam=&sCardNum=&sNote=&sSetName=Topps&sBrand=,/ViewCard.cfm/sid/1824/cid/211462/2005-Topps-338-Ichiro-Suzuki-/-Michael-Young-/-Vladimir-Guerrero,0
Vladimir Guerrero,https://www.tcdb.com/Person.cfm/pid/2290/col/Y/yea/0/Vladimir-Guerrero?sTeam=&sCardNum=&sNote=&sSetName=Topps&sBrand=,/ViewCard.cfm/sid/1824/cid/211484/2005-Topps-360-Vladimir-Guerrero,0
Vladimir Guerrero,https://www.tcdb.com/Person.cfm/pid/2290/col/Y/yea/0/Vladimir-Guerrero?sTeam=&sCardNum=&sNote=&sSetName=Topps&sBrand=,/ViewCard.cfm/sid/1824/cid/211839/2005-Topps-715-Vladimir-Guerrero,0
