name,year,number,price,own,type,ebay
Rickey Henderson,1999,277,1.2,0,first_ballot,1
Frank Thomas,1999,423,1.39,0,first_ballot,1
John Smoltz,2002,145,0.23,0,first_ballot,1
Randy Johnson,2002,200,1.3,0,first_ballot,1
Mariano Rivera,2002,270,0.4,0,first_ballot,1
Tom Glavine,2002,390,0.28,0,first_ballot,1
David Ortiz,2002,489,0.37,0,first_ballot,1
Trevor Hoffman,1999,105,0.1,0,bbwaa,1
Edgar Martinez,1999,190,0.17,0,bbwaa,1
Roberto Alomar,1999,248,0.8,0,bbwaa,1
Larry Walker,1999,350,0.35,0,bbwaa,1
Roberto Alomar,2000,140,0.79,0,bbwaa,1
Edgar Martinez,2002,475,0.32,0,bbwaa,1
Matt Williams,1998,12,0.3,0,vet_or_other,1
Rafael Palmeiro,1998,50,0.35,0,vet_or_other,1
Will Clark,1998,316,0.35,0,vet_or_other,1
Fred McGriff,1998,349,0.3,0,vet_or_other,1
Darryl Strawberry,1999,18,0.17,0,vet_or_other,1
Juan Gonzalez,1999,50,0.2,0,vet_or_other,1
Jose Canseco,1999,80,0.23,0,vet_or_other,1
Billy Wagner,1999,108,0.18,0,vet_or_other,1
Scott Rolen,1999,125,0.17,0,vet_or_other,1
Fred McGriff,1999,139,0.28,0,vet_or_other,1
Eric Davis,1999,153,0.17,0,vet_or_other,1
Andruw Jones,1999,195,0.2,0,vet_or_other,1
Bobby Bonilla,1999,282,0.2,0,vet_or_other,1
David Justice,1999,283,0.2,0,vet_or_other,1
Rafael Palmeiro,1999,315,0.25,0,vet_or_other,1
Raul Mondesi,1999,365,0.12,0,vet_or_other,1
Carlos Delgado,1999,420,0.2,0,vet_or_other,1
Carlos Delgado,2000,93,0.2,0,vet_or_other,1
Gary Sheffield,2002,115,0.15,0,vet_or_other,1
Matt Williams,2002,139,0.1,0,vet_or_other,1
Carlos Delgado,2002,150,0.23,0,vet_or_other,1
Billy Wagner,2002,172,0.2,0,vet_or_other,1
Carlos Beltran,2002,201,0.2,0,vet_or_other,1
Fred McGriff,2002,385,0.23,0,vet_or_other,1
Omar Vizquel,2002,395,0.27,0,vet_or_other,1
Curt Schilling,2002,400,0.2,0,vet_or_other,1
David Justice,2002,404,0.2,0,vet_or_other,1
Jose Canseco,2002,435,0.3,0,vet_or_other,1
Kenny Lofton,2002,583,0.17,0,vet_or_other,1
Scott Rolen,2002,610,0.25,0,vet_or_other,1
