name,year,number,price,own,lot_name,remaining_price,url,front_url,back_url
Hoyt Wilhelm,1957,203,14,,,14,/ViewCard.cfm/sid/38/cid/7205/1957-Topps-203-Hoyt-Wilhelm,/Images/Cards/Baseball/38/38-203Fr.jpg,/Images/Cards/Baseball/38/38-203Bk.jpg
Roy Campanella,1957,210,76,,,76,/ViewCard.cfm/sid/38/cid/7212/1957-Topps-210-Roy-Campanella,/Images/Cards/Baseball/38/38-210Fr.jpg,/Images/Cards/Baseball/38/38-210Bk.jpg
Eddie Mathews,1957,250,25,,,25,/ViewCard.cfm/sid/38/cid/7252/1957-Topps-250-Ed-Mathews,/Images/Cards/Baseball/38/38-250Fr.jpg,/Images/Cards/Baseball/38/38-250Bk.jpg
Bob Lemon,1958,2,5,,,5,/ViewCard.cfm/sid/40/cid/27002/1958-Topps-2-Bob-Lemon,/Images/Cards/Baseball/40/40-2aFr.jpg,/Images/Cards/Baseball/40/40-2aBk.jpg
Don Drysdale,1958,25,35,,,35,/ViewCard.cfm/sid/40/cid/27033/1958-Topps-25-Don-Drysdale,/Images/Cards/Baseball/40/40-25Fr.jpg,/Images/Cards/Baseball/40/40-25Bk.jpg
Luis Aparicio,1958,85,6,,,6,/ViewCard.cfm/sid/40/cid/27112/1958-Topps-85-Luis-Aparicio,/Images/Cards/Baseball/40/40-85aFr.jpg,/Images/Cards/Baseball/40/40-85aBk.jpg
Duke Snider,1958,88,39.5,,,39.5,/ViewCard.cfm/sid/40/cid/27116/1958-Topps-88-Duke-Snider,/Images/Cards/Baseball/40/40-88Fr.jpg,/Images/Cards/Baseball/40/40-88Bk.jpg
Robin Roberts,1958,90,9,,,9,/ViewCard.cfm/sid/40/cid/27118/1958-Topps-90-Robin-Roberts,/Images/Cards/Baseball/40/40-90Fr.jpg,/Images/Cards/Baseball/40/40-90Bk.jpg
Early Wynn,1958,100,5.59,,,5.59,/ViewCard.cfm/sid/40/cid/27131/1958-Topps-100-Early-Wynn,/Images/Cards/Baseball/40/40-100aFr.jpg,/Images/Cards/Baseball/40/40-100aBk.jpg
Harmon Killebrew,1958,288,30,,,30,/ViewCard.cfm/sid/40/cid/27321/1958-Topps-288-Harmon-Killebrew,/Images/Cards/Baseball/40/40-288Fr.jpg,/Images/Cards/Baseball/40/40-288Bk.jpg
Whitey Ford,1958,320,34,,,34,/ViewCard.cfm/sid/40/cid/27353/1958-Topps-320-Whitey-Ford,/Images/Cards/Baseball/40/40-320Fr.jpg,/Images/Cards/Baseball/40/40-320Bk.jpg
Hoyt Wilhelm,1958,324,7,,,7,/ViewCard.cfm/sid/40/cid/27357/1958-Topps-324-Hoyt-Wilhelm,/Images/Cards/Baseball/40/40-324Fr.jpg,/Images/Cards/Baseball/40/40-324Bk.jpg
Yogi Berra,1958,370,70,,,70,/ViewCard.cfm/sid/40/cid/27403/1958-Topps-370-Yogi-Berra,/Images/Cards/Baseball/40/40-370Fr.jpg,/Images/Cards/Baseball/40/40-370Bk.jpg
Eddie Mathews,1958,440,40,,,40,/ViewCard.cfm/sid/40/cid/27478/1958-Topps-440-Ed-Mathews,/Images/Cards/Baseball/40/40-440Fr.jpg,/Images/Cards/Baseball/40/40-440Bk.jpg
