name,year,number,url,price,front_url,back_url
Derek Jeter,2002,75,/ViewCard.cfm/sid/1562/cid/303163/2002-Topps-75-Derek-Jeter,1.14,/Images/Cards/Baseball/1562/1562-75Fr.jpg,/Images/Cards/Baseball/1562/1562-75Bk.jpg
Derek Jeter,2003,400,/ViewCard.cfm/sid/1642/cid/32749/2003-Topps-400-Derek-Jeter,0.84,/Images/Cards/Baseball/1642/1642-400Fr.jpg,/Images/Cards/Baseball/1642/1642-32749RepBk.jpg
Derek Jeter,2004,20,/ViewCard.cfm/sid/1727/cid/210369/2004-Topps-20-Derek-Jeter,0.5,/Images/Cards/Baseball/1727/1727-20Fr.jpg,/Images/Cards/Baseball/1727/1727-20Bk.jpg
Derek Jeter,2005,600,/ViewCard.cfm/sid/1824/cid/211724/2005-Topps-600-Derek-Jeter,1.25,/Images/Cards/Baseball/1824/1824-600Fr.jpg,/Images/Cards/Baseball/1824/1824-600Bk.jpg
Derek Jeter,2006,500,/ViewCard.cfm/sid/1930/cid/207635/2006-Topps-500-Derek-Jeter,1.17,/Images/Cards/Baseball/1930/1930-207635RepFr.jpg,/Images/Cards/Baseball/1930/1930-207635RepBk.jpg
Derek Jeter,2007,40,/ViewCard.cfm/sid/1977/cid/193353/2007-Topps-40-Derek-Jeter,1.25,/Images/Cards/Baseball/1977/1977-193353Fr.jpg,/Images/Cards/Baseball/1977/1977-193353Bk.jpg
Derek Jeter,2008,455,/ViewCard.cfm/sid/6625/cid/57306/2008-Topps-455-Derek-Jeter,1.75,/Images/Cards/Baseball/6625/6625-57306RepFr.jpg,/Images/Cards/Baseball/6625/6625-57306RepBk.jpg
Derek Jeter,2009,353,/ViewCard.cfm/sid/9074/cid/259622/2009-Topps-353-Derek-Jeter,1.5,/Images/Cards/Baseball/9074/9074-259622RepFr.jpg,/Images/Cards/Baseball/9074/9074-259622RepBk.jpg
Derek Jeter,2010,549,/ViewCard.cfm/sid/9821/cid/417642/2010-Topps-549-Derek-Jeter,2.5,/Images/Cards/Baseball/9821/9821-549aFr.jpg,/Images/Cards/Baseball/9821/9821-549aBk.jpg
Derek Jeter,2011,330,/ViewCard.cfm/sid/48224/cid/534760/2011-Topps-330-Derek-Jeter,2.75,/Images/Cards/Baseball/48224/48224-330Fr.jpg,/Images/Cards/Baseball/48224/48224-330Bk.jpg
Derek Jeter,2012,30,/ViewCard.cfm/sid/61443/cid/3675789/2012-Topps-30-Derek-Jeter,2.5,/Images/Cards/Baseball/61443/61443-30Fr.jpg,/Images/Cards/Baseball/61443/61443-30Bk.jpg
Derek Jeter,2013,2,/ViewCard.cfm/sid/72762/cid/5507914/2013-Topps-2-Derek-Jeter,2.15,/Images/Cards/Baseball/72762/72762-2Fr.jpg,/Images/Cards/Baseball/72762/72762-5507914RepBk.jpg
Derek Jeter,2014,200,/ViewCard.cfm/sid/83630/cid/6395396/2014-Topps-200-Derek-Jeter,1.5,/Images/Cards/Baseball/83630/83630-6395396RepFr.jpg,/Images/Cards/Baseball/83630/83630-6395396Bk.jpg
Derek Jeter,2015,1,/ViewCard.cfm/sid/97340/cid/7346463/2015-Topps-1-Derek-Jeter,2.99,/Images/Cards/Baseball/97340/97340-7346463Fr.jpg,/Images/Cards/Baseball/97340/97340-7346463Bk.jpg
Ken Griffey Jr,1990,336,/ViewCard.cfm/sid/147/cid/61236/1990-Topps-336-Ken-Griffey-Jr.,3.9,/Images/Cards/Baseball/147/147-336Fr.jpg,/Images/Cards/Baseball/147/147-336Bk.jpg
Ken Griffey Jr,1991,790,/ViewCard.cfm/sid/167/cid/62718/1991-Topps-790-Ken-Griffey-Jr.,1,/Images/Cards/Baseball/167/167-790Fr.jpg,/Images/Cards/Baseball/167/167-790Bk.jpg
