name,player_url,card_url,collect
Shohei Ohtani,https://www.tcdb.com/Person.cfm/pid/51878/col/Y/yea/2022/Shohei-Ohtani?sTeam=&sCardNum=&sNote=&sSetName=Topps&sBrand=,/ViewCard.cfm/sid/275887/cid/18009113/2022-Topps-48-AL-HR-Leaders-(Vladimir-Guerrero-Jr.-/-Salvador-Perez-/-Shohei-Ohtani),0
Shohei Ohtani,https://www.tcdb.com/Person.cfm/pid/51878/col/Y/yea/2022/Shohei-Ohtani?sTeam=&sCardNum=&sNote=&sSetName=Topps&sBrand=,/ViewCard.cfm/sid/275887/cid/18009207/2022-Topps-122-Minnesota-Meetup,0
Shohei Ohtani,https://www.tcdb.com/Person.cfm/pid/51878/col/Y/yea/2022/Shohei-Ohtani?sTeam=&sCardNum=&sNote=&sSetName=Topps&sBrand=,/ViewCard.cfm/sid/275887/cid/18009250/2022-Topps-159-Los-Angeles-Angels,0
Shohei Ohtani,https://www.tcdb.com/Person.cfm/pid/51878/col/Y/yea/2022/Shohei-Ohtani?sTeam=&sCardNum=&sNote=&sSetName=Topps&sBrand=,/ViewCard.cfm/sid/275887/cid/18764222/2022-Topps-416-Dugout-Congratulations,0
Shohei Ohtani,https://www.tcdb.com/Person.cfm/pid/51878/col/Y/yea/2022/Shohei-Ohtani?sTeam=&sCardNum=&sNote=&sSetName=Topps&sBrand=,/ViewCard.cfm/sid/275887/cid/18764535/2022-Topps-660-Shohei-Ohtani,0
Shohei Ohtani,https://www.tcdb.com/Person.cfm/pid/51878/col/Y/yea/2022/Shohei-Ohtani?sTeam=&sCardNum=&sNote=&sSetName=Topps&sBrand=,/ViewCard.cfm/sid/275887/cid/18764536/2022-Topps-660b-Shohei-Ohtani,0
Shohei Ohtani,https://www.tcdb.com/Person.cfm/pid/51878/col/Y/yea/2022/Shohei-Ohtani?sTeam=&sCardNum=&sNote=&sSetName=Topps&sBrand=,/ViewCard.cfm/sid/275887/cid/18764537/2022-Topps-660c-Shohei-Ohtani,0
Nolan Arenado,https://www.tcdb.com/Person.cfm/pid/35660/col/Y/yea/2022/Nolan-Arenado?sTeam=&sCardNum=&sNote=&sSetName=Topps&sBrand=,/ViewCard.cfm/sid/275887/cid/18009163/2022-Topps-87-Nolan-Arenado,1
Nolan Arenado,https://www.tcdb.com/Person.cfm/pid/35660/col/Y/yea/2022/Nolan-Arenado?sTeam=&sCardNum=&sNote=&sSetName=Topps&sBrand=,/ViewCard.cfm/sid/275887/cid/18009164/2022-Topps-87-Nolan-Arenado,0
Nolan Arenado,https://www.tcdb.com/Person.cfm/pid/35660/col/Y/yea/2022/Nolan-Arenado?sTeam=&sCardNum=&sNote=&sSetName=Topps&sBrand=,/ViewCard.cfm/sid/275887/cid/18009368/2022-Topps-247-St.-Louis-Cardinals,0
Giancarlo Stanton,https://www.tcdb.com/Person.cfm/pid/41464/col/Y/yea/2022/Giancarlo-Stanton?sTeam=&sCardNum=&sNote=&sSetName=Topps&sBrand=,/ViewCard.cfm/sid/275887/cid/18009206/2022-Topps-121-New-York-Yankees,0
Giancarlo Stanton,https://www.tcdb.com/Person.cfm/pid/41464/col/Y/yea/2022/Giancarlo-Stanton?sTeam=&sCardNum=&sNote=&sSetName=Topps&sBrand=,/ViewCard.cfm/sid/275887/cid/18764197/2022-Topps-399-Fenway-Park-Fireworks,0
Giancarlo Stanton,https://www.tcdb.com/Person.cfm/pid/41464/col/Y/yea/2022/Giancarlo-Stanton?sTeam=&sCardNum=&sNote=&sSetName=Topps&sBrand=,/ViewCard.cfm/sid/275887/cid/18764519/2022-Topps-650-Giancarlo-Stanton,1
Giancarlo Stanton,https://www.tcdb.com/Person.cfm/pid/41464/col/Y/yea/2022/Giancarlo-Stanton?sTeam=&sCardNum=&sNote=&sSetName=Topps&sBrand=,/ViewCard.cfm/sid/275887/cid/18764520/2022-Topps-650b-Giancarlo-Stanton,0
Giancarlo Stanton,https://www.tcdb.com/Person.cfm/pid/41464/col/Y/yea/2022/Giancarlo-Stanton?sTeam=&sCardNum=&sNote=&sSetName=Topps&sBrand=,/ViewCard.cfm/sid/275887/cid/18764521/2022-Topps-650c-Giancarlo-Stanton,0
Luis Robert,https://www.tcdb.com/Person.cfm/pid/179426/col/Y/yea/2022/Luis-Robert?sTeam=&sCardNum=&sNote=&sSetName=Topps&sBrand=,/ViewCard.cfm/sid/275887/cid/18009191/2022-Topps-107-Luis-Robert,1
Luis Robert,https://www.tcdb.com/Person.cfm/pid/179426/col/Y/yea/2022/Luis-Robert?sTeam=&sCardNum=&sNote=&sSetName=Topps&sBrand=,/ViewCard.cfm/sid/275887/cid/18009192/2022-Topps-107-Luis-Robert,0
