name,year,number,price,own,lot_name,remaining_price,url,front_url,back_url
Mike Trout,2021,27,1.35,0,"",0,/ViewCard.cfm/sid/241380/cid/15983728/2021-Topps-27-Mike-Trout,/Images/Cards/Baseball/241380/241380-15983728Fr.jpg,/Images/Cards/Baseball/241380/241380-15983728Bk.jpg
Albert Pujols,2021,178,0.5,0,"",0,/ViewCard.cfm/sid/241380/cid/15983879/2021-Topps-178-Albert-Pujols,/Images/Cards/Baseball/241380/241380-15983879Fr.jpg,/Images/Cards/Baseball/241380/241380-15983879Bk.jpg
Miguel Cabrera,2021,291,1.5,0,"",0,/ViewCard.cfm/sid/241380/cid/15983992/2021-Topps-291-Miguel-Cabrera,/Images/Cards/Baseball/241380/241380-15983992Fr.jpg,/Images/Cards/Baseball/241380/241380-15983992Bk.jpg
Justin Verlander,2021,112,1.42,0,"",0,/ViewCard.cfm/sid/241380/cid/15983813/2021-Topps-112-Justin-Verlander,/Images/Cards/Baseball/241380/241380-15983813Fr.jpg,/Images/Cards/Baseball/241380/241380-15983813Bk.jpg
Max Scherzer,2021,325,0.99,0,"",0,/ViewCard.cfm/sid/241380/cid/15984026/2021-Topps-325-Max-Scherzer,/Images/Cards/Baseball/241380/241380-15984026Fr.jpg,/Images/Cards/Baseball/241380/241380-15984026Bk.jpg
Clayton Kershaw,2021,67,1.65,0,"",0,/ViewCard.cfm/sid/241380/cid/15983768/2021-Topps-67-Clayton-Kershaw,/Images/Cards/Baseball/241380/241380-15983768Fr.jpg,/Images/Cards/Baseball/241380/241380-15983768Bk.jpg
Mookie Betts,2021,13,1.25,0,"",0,/ViewCard.cfm/sid/241380/cid/15983714/2021-Topps-13-Mookie-Betts,/Images/Cards/Baseball/241380/241380-15983714Fr.jpg,/Images/Cards/Baseball/241380/241380-15983714Bk.jpg
Bryce Harper,2021,250,1.79,0,"",0,/ViewCard.cfm/sid/241380/cid/15983951/2021-Topps-250-Bryce-Harper,/Images/Cards/Baseball/241380/241380-15983951Fr.jpg,/Images/Cards/Baseball/241380/241380-15983951Bk.jpg
Manny Machado,2021,192,1.47,0,"",0,/ViewCard.cfm/sid/241380/cid/15983893/2021-Topps-192-Manny-Machado,/Images/Cards/Baseball/241380/241380-15983893Fr.jpg,/Images/Cards/Baseball/241380/241380-15983893Bk.jpg
Kris Bryant,2021,660,1.48,0,"",0,/ViewCard.cfm/sid/241380/cid/16635641/2021-Topps-660-Kris-Bryant,/Images/Cards/Baseball/241380/241380-16635641Fr.jpg,/Images/Cards/Baseball/241380/241380-16635641Bk.jpg
Christian Yelich,2021,100,1.25,0,"",0,/ViewCard.cfm/sid/241380/cid/15983801/2021-Topps-100-Christian-Yelich,/Images/Cards/Baseball/241380/241380-15983801Fr.jpg,/Images/Cards/Baseball/241380/241380-15983801Bk.jpg
Cody Bellinger,2021,50,1.25,0,"",0,/ViewCard.cfm/sid/241380/cid/15983751/2021-Topps-50-Cody-Bellinger,/Images/Cards/Baseball/241380/241380-15983751Fr.jpg,/Images/Cards/Baseball/241380/241380-15983751Bk.jpg
Juan Soto,2021,330,1.24,0,"",0,/ViewCard.cfm/sid/241380/cid/15984031/2021-Topps-330-Juan-Soto,/Images/Cards/Baseball/241380/241380-15984031RepFr.jpg,/Images/Cards/Baseball/241380/241380-15984031RepBk.jpg
Zack Greinke,2021,463,0.99,0,"",0,/ViewCard.cfm/sid/241380/cid/16635394/2021-Topps-463-Zack-Greinke,/Images/Cards/Baseball/241380/241380-16635394Fr.jpg,/Images/Cards/Baseball/241380/241380-16635394Bk.jpg
Joey Votto,2021,275,0.32,0,"",0,/ViewCard.cfm/sid/241380/cid/15983976/2021-Topps-275-Joey-Votto,/Images/Cards/Baseball/241380/241380-15983976Fr.jpg,/Images/Cards/Baseball/241380/241380-15983976Bk.jpg
Buster Posey,2021,301,1.19,0,"",0,/ViewCard.cfm/sid/241380/cid/15984002/2021-Topps-301-Buster-Posey,/Images/Cards/Baseball/241380/241380-15984002Fr.jpg,/Images/Cards/Baseball/241380/241380-15984002Bk.jpg
Stephen Strasburg,2021,400,0.99,0,"",0,/ViewCard.cfm/sid/241380/cid/16635314/2021-Topps-400-Stephen-Strasburg,/Images/Cards/Baseball/241380/241380-16635314Fr.jpg,/Images/Cards/Baseball/241380/241380-16635314Bk.jpg
