name,year,number,price,own,last_name
Willie Stargell,1964,342,7.5,0,Stargell
Willie McCovey,1964,350,16,0,McCovey
Warren Spahn,1964,400,20,0,Spahn
Roberto Clemente,1964,440,43,0,Clemente
Bob Gibson,1964,460,12,0,Gibson
Joe Morgan,1965,16,40,1,Morgan
Frank Robinson,1965,120,16,0,Robinson
Al Kaline,1965,130,11,0,Kaline
Brooks Robinson,1965,150,23,0,Robinson
Roberto Clemente,1965,160,50.6,0,Clemente
Hank Aaron,1965,170,81,0,Aaron
Willie McCovey,1965,176,11.75,0,McCovey
Warren Spahn,1965,205,10,0,Spahn
Willie Mays,1965,250,79.99,0,Mays
Sandy Koufax,1965,300,33,0,Koufax
Bob Gibson,1965,320,30,0,Gibson
Mickey Mantle,1965,350,282.29,0,Mantle
Willie Stargell,1965,377,17,0,Stargell
Carl Yastrzemski,1965,385,22.5,0,Yastrzemski
Steve Carlton,1965,477,44,0,Carlton
Ernie Banks,1965,510,30,0,Banks
Lou Brock,1965,540,27.82,0,Brock
Willie Mays,1966,1,15,0,Mays
Mickey Mantle,1966,50,145,0,Mantle
Carl Yastrzemski,1966,70,14,1,Yastrzemski
Sandy Koufax,1966,100,37.44,0,Koufax
Ernie Banks,1966,110,19,1,Banks
Lou Brock,1966,125,13.33,0,Brock
Jim Palmer,1966,126,67.99,0,Palmer
Joe Morgan,1966,195,8.51,1,Morgan
Willie Stargell,1966,255,8.25,0,Stargell
Roberto Clemente,1966,300,62,0,Clemente
Frank Robinson,1966,310,40,0,Robinson
Bob Gibson,1966,320,20.83,0,Gibson
Brooks Robinson,1966,390,26,0,Robinson
Al Kaline,1966,410,7.5,0,Kaline
Hank Aaron,1966,500,41,0,Aaron
Willie McCovey,1966,550,134.5,0,McCovey
Al Kaline,1967,30,8,0,Kaline
Frank Robinson,1967,100,17.5,0,Robinson
Willie Stargell,1967,140,4,0,Stargell
Steve Carlton,1967,146,16.17,1,Carlton
Mickey Mantle,1967,150,190,0,Mantle
Willie Mays,1967,200,22.49,0,Mays
Bob Gibson,1967,210,9,1,Gibson
Ernie Banks,1967,215,14,0,Banks
Hank Aaron,1967,250,17,0,Aaron
Lou Brock,1967,285,14,0,Brock
Joe Morgan,1967,337,8.25,1,Morgan
Carl Yastrzemski,1967,355,46.5,1,Yastrzemski
Roberto Clemente,1967,400,34.1,0,Clemente
Jim Palmer,1967,475,33.65,0,Palmer
Willie McCovey,1967,480,30.24,0,McCovey
Rod Carew,1967,569,249.99,0,Carew
Tom Seaver,1967,581,600,0,Seaver
Brooks Robinson,1967,600,175,0,Robinson
Brooks Robinson,1968,20,11,0,Robinson
Tom Seaver,1968,45,59.99,0,Seaver
Willie Mays,1968,50,16.25,0,Mays
Rod Carew,1968,80,20,1,Carew
Willie Stargell,1968,86,4,0,Stargell
Bob Gibson,1968,100,13.01,0,Gibson
Hank Aaron,1968,110,25,0,Aaron
Joe Morgan,1968,144,2.32,1,Morgan
Roberto Clemente,1968,150,29.99,0,Clemente
Nolan Ryan,1968,177,300,0,Ryan
Al Kaline,1968,240,7.5,0,Kaline
Johnny Bench,1968,247,39,0,Bench
Carl Yastrzemski,1968,250,81.01,0,Yastrzemski
Mickey Mantle,1968,280,74.99,0,Mantle
Willie McCovey,1968,290,3,0,McCovey
Ernie Banks,1968,355,10,0,Banks
Steve Carlton,1968,408,5,0,Carlton
Frank Robinson,1968,500,75.38,0,Robinson
Lou Brock,1968,520,14.51,0,Brock
Jim Palmer,1968,575,20,0,Palmer
Ernie Banks,1969,20,7.5,0,Banks
Joe Morgan,1969,35,2,0,Morgan
Roberto Clemente,1969,50,19.95,0,Clemente
Lou Brock,1969,85,15,0,Brock
Johnny Bench,1969,95,29.95,0,Bench
Hank Aaron,1969,100,20.28,0,Aaron
Carl Yastrzemski,1969,130,12,0,Yastrzemski
Willie Mays,1969,190,26,0,Mays
Bob Gibson,1969,200,2.25,0,Gibson
Frank Robinson,1969,250,10,0,Robinson
Steve Carlton,1969,255,21,0,Carlton
Reggie Jackson,1969,260,63.49,0,Jackson
Al Kaline,1969,410,25,0,Kaline
Willie McCovey,1969,440,10,0,McCovey
Tom Seaver,1969,480,13.2,0,Seaver
Mickey Mantle,1969,500,100,0,Mantle
Rod Carew,1969,510,30,0,Carew
Nolan Ryan,1969,533,200,0,Ryan
Willie Stargell,1969,545,12,0,Stargell
Brooks Robinson,1969,550,15,0,Robinson
Jim Palmer,1969,573,10,0,Palmer
Carl Yastrzemski,1970,10,8.5,1,Yastrzemski
Reggie Jackson,1970,140,32,1,Jackson
Steve Carlton,1970,220,4,0,Carlton
Brooks Robinson,1970,230,8.5,0,Robinson
Willie McCovey,1970,250,8.95,0,McCovey
Rod Carew,1970,290,6,1,Carew
Tom Seaver,1970,300,15,0,Seaver
Lou Brock,1970,330,4.99,0,Brock
Roberto Clemente,1970,350,41.25,0,Clemente
Jim Palmer,1970,449,3.25,0,Palmer
Willie Stargell,1970,470,5,0,Stargell
Hank Aaron,1970,500,26.55,0,Aaron
Bob Gibson,1970,530,9.5,0,Gibson
Joe Morgan,1970,537,5,1,Morgan
Willie Mays,1970,600,47,0,Mays
Ernie Banks,1970,630,30,0,Banks
Al Kaline,1970,640,31,0,Kaline
Johnny Bench,1970,660,49,0,Bench
Frank Robinson,1970,700,32,0,Robinson
Nolan Ryan,1970,712,127.5,0,Ryan
Reggie Jackson,1971,20,7.45,0,Jackson
Willie McCovey,1971,50,5.5,0,McCovey
Steve Carlton,1971,55,4,0,Carlton
Tom Seaver,1971,160,12.49,1,Seaver
Al Kaline,1971,180,5,0,Kaline
Rod Carew,1971,210,4,1,Carew
Willie Stargell,1971,230,4,0,Stargell
Johnny Bench,1971,250,6.95,0,Bench
Joe Morgan,1971,264,6,1,Morgan
Brooks Robinson,1971,300,3,0,Robinson
Hank Aaron,1971,400,20,0,Aaron
Bob Gibson,1971,450,3.25,1,Gibson
Nolan Ryan,1971,513,64.5,0,Ryan
Ernie Banks,1971,525,23,0,Banks
Carl Yastrzemski,1971,530,6.15,0,Yastrzemski
Jim Palmer,1971,570,15,0,Palmer
Willie Mays,1971,600,35,0,Mays
Lou Brock,1971,625,24.25,0,Brock
Roberto Clemente,1971,630,50,0,Clemente
Frank Robinson,1971,640,7,0,Robinson
Carl Yastrzemski,1972,37,5.25,0,Yastrzemski
Willie Mays,1972,49,14.99,0,Mays
Frank Robinson,1972,100,3,1,Robinson
Bob Gibson,1972,130,2.75,1,Gibson
Joe Morgan,1972,132,6,0,Morgan
Lou Brock,1972,200,3,0,Brock
Jim Palmer,1972,270,6,1,Palmer
Willie McCovey,1972,280,4,1,McCovey
Hank Aaron,1972,299,14,0,Aaron
Roberto Clemente,1972,309,45,0,Clemente
Steve Carlton,1972,420,5,0,Carlton
Johnny Bench,1972,433,16.01,0,Bench
Reggie Jackson,1972,435,8.31,1,Jackson
Tom Seaver,1972,445,6,0,Seaver
Willie Stargell,1972,447,5,0,Stargell
Brooks Robinson,1972,550,12.15,0,Robinson
Nolan Ryan,1972,595,50,0,Ryan
Al Kaline,1972,600,7,0,Kaline
Rod Carew,1972,695,18,0,Carew
Roberto Clemente,1973,50,20,1,Clemente
Brooks Robinson,1973,90,3,1,Robinson
Hank Aaron,1973,100,15,1,Aaron
Jim Palmer,1973,160,2,1,Palmer
Frank Robinson,1973,175,2,1,Robinson
Bob Gibson,1973,190,3,1,Gibson
Nolan Ryan,1973,220,16.5,1,Ryan
