name,year,number,condition,date,bids,price
Al Kaline,1955,4,EX-EXMINT,2020-11-09,33,360.99
Al Kaline,1955,4,VG-VGEX,2020-11-08,12,81
Al Kaline,1955,4,VG-VGEX,2020-11-01,21,161.5
Ernie Banks,1955,28,VG-VGEX,2021-01-04,9,107.83
Ernie Banks,1955,28,VG-VGEX (crease) (marked),2020-12-18,14,36.99
Ernie Banks,1955,28,EX-EXMINT,2020-12-08,23,136.5
Ernie Banks,1955,28,EX-EXMINT,2020-11-29,27,143
Ernie Banks,1955,28,LOW GRADE (crease),2020-11-06,16,50.98
Ernie Banks,1955,28,LOW GRADE (crease),2020-11-06,16,56
Ernie Banks,1955,28,LOW GRADE,2020-11-06,22,29.27
Ernie Banks,1955,28,VG-VGEX (wrinkle),2020-10-16,26,61
Ernie Banks,1955,28,VG-VGEX (wrinkle),2020-10-09,18,69
Warren Spahn,1955,31,VG-VGEX,2020-12-20,21,36.56
Warren Spahn,1955,31,VG-VGEX,2020-12-16,16,32.11
Warren Spahn,1955,31,VG-VGEX,2020-12-13,23,124.5
Warren Spahn,1955,31,EX-EXMINT,2020-12-08,18,76
Warren Spahn,1955,31,LOW GRADE (crease),2020-12-04,12,11.5
Warren Spahn,1955,31,LOW GRADE,2020-12-04,14,19.56
Warren Spahn,1955,31,VG-VGEX,2020-12-03,16,34
Warren Spahn,1955,31,EX-EXMINT,2020-11-29,22,91
Warren Spahn,1955,31,LOW GRADE (crease),2020-11-27,9,16.55
Warren Spahn,1955,31,LOW GRADE (filler),2020-11-20,13,12.6
Warren Spahn,1955,31,VG-VGEX,2020-11-19,11,31
Warren Spahn,1955,31,LOW GRADE (crease),2020-11-13,7,13.5
Warren Spahn,1955,31,VG-VGEX,2020-11-01,11,22.5
Warren Spahn,1955,31,LOW GRADE (crease),2020-10-30,9,16.5
Warren Spahn,1955,31,VG-VGEX (wrinkle),2020-10-16,9,18.68
Hank Aaron,1955,47,VG-VGEX (crease),2021-01-02,31,455
Hank Aaron,1955,47,LOW GRADE (filler),2020-12-25,36,190.15
Hank Aaron,1955,47,LOW GRADE (crease),2020-12-25,29,78.77
Hank Aaron,1955,47,LOW GRADE (crease),2020-12-18,22,116.66
Hank Aaron,1955,47,LOW GRADE (filler),2020-12-18,26,82.5
Hank Aaron,1955,47,EX-EXMINT,2020-11-29,21,381.62
Hank Aaron,1955,47,LOW GRADE (filler),2020-11-20,10,48
Jackie Robinson,1955,50,VG-VGEX (crease),2021-01-02,44,367.5
Jackie Robinson,1955,50,VG-VGEX (crease),2020-12-18,43,366
Jackie Robinson,1955,50,LOW GRADE (paper loss),2020-12-18,23,120
Jackie Robinson,1955,50,VG-VGEX (wrinkle),2020-12-04,39,324
Jackie Robinson,1955,50,VG-VGEX (wrinkle),2020-11-27,41,366.12
Jackie Robinson,1955,50,VG-VGEX (crease),2020-11-27,29,285
Jackie Robinson,1955,50,VG-VGEX,2020-11-01,32,330
Jackie Robinson,1955,50,LOW GRADE,2020-10-30,21,105.77
Sandy Koufax,1955,123,EX-EXMINT,2021-01-04,37,
Sandy Koufax,1955,123,LOW GRADE (crease),2020-12-18,23,338.33
Sandy Koufax,1955,123,VG-VGEX (wrinkle),2020-12-18,25,430
Sandy Koufax,1955,123,LOW GRADE (crease),2020-12-11,36,370
Sandy Koufax,1955,123,LOW GRADE,2020-12-04,45,427.01
Sandy Koufax,1955,123,LOW GRADE (crease),2020-11-13,45,305.32
Willie Mays,1955,194,VG-VGEX (crease),2021-01-02,48,350
Willie Mays,1955,194,LOW GRADE (crease),2020-11-27,28,164.5
Willie Mays,1955,194,EX-EXMINT,2020-11-22,39,631
Ted Williams,1956,5,VG-VGEX (white back),2021-01-04,19,267
Ted Williams,1956,5,LOW GRADE (crease) (white back),2021-01-02,17,64
Ted Williams,1956,5,LOW GRADE (crease),2021-01-02,19,56
Ted Williams,1956,5,VG-VGEX (crease),2020-12-25,28,203.8
Ted Williams,1956,5,VG-VGEX,2020-12-20,30,281.04
Ted Williams,1956,5,EX-EXMINT (white back),2020-12-16,29,293
Ted Williams,1956,5,EX-EXMINT,2020-12-08,28,355
Ted Williams,1956,5,VG-VGEX (wrinkle),2020-12-04,27,198.55
Ted Williams,1956,5,VG-VGEX (white back),2020-11-29,24,193.5
Ted Williams,1956,5,VG-VGEX,2020-11-22,23,158.5
Ted Williams,1956,5,VG-VGEX,2020-11-01,29,198.5
Warren Spahn,1956,10,VG-VGEX (white back),2021-01-04,9,29
Warren Spahn,1956,10,LOW GRADE (filler),2021-01-02,14,22
Warren Spahn,1956,10,LOW GRADE (crease) (white back),2021-01-02,10,17.65
Warren Spahn,1956,10,VG-VGEX (wrinkle) (white back),2020-12-25,15,32.31
Warren Spahn,1956,10,VG-VGEX (white back),2020-12-23,14,26
Warren Spahn,1956,10,VG-VGEX (white back),2020-12-20,15,35
Warren Spahn,1956,10,LOW GRADE (crease) (white back),2020-12-18,5,10.38
Warren Spahn,1956,10,VG-VGEX,2020-12-16,10,27
Warren Spahn,1956,10,EX-EXMINT,2020-12-13,25,140.5
Warren Spahn,1956,10,VG-VGEX (wrinkle) (white back),2020-12-11,20,38.99
Warren Spahn,1956,10,EX-EXMINT,2020-12-08,13,54
Warren Spahn,1956,10,VG-VGEX (white back),2020-11-29,14,21
Warren Spahn,1956,10,VG-VGEX,2020-11-22,10,34.77
Warren Spahn,1956,10,VG-VGEX (wrinkle),2020-11-20,14,23.5
Warren Spahn,1956,10,LOW GRADE (crease),2020-11-20,6,16.6
Warren Spahn,1956,10,VG-VGEX,2020-11-19,9,32.11
Warren Spahn,1956,10,LOW GRADE (filler),2020-11-06,9,10.5
Warren Spahn,1956,10,VG-VGEX (white back),2020-11-05,16,27.69
Warren Spahn,1956,10,EX-EXMINT,2020-11-01,19,122.5
Warren Spahn,1956,10,NR-MINT,2020-10-25,20,117.5
Warren Spahn,1956,10,VG-VGEX (wrinkle),2020-10-09,13,31.55
Ernie Banks,1956,15,VG-VGEX,2021-01-04,34,117.5
Ernie Banks,1956,15,LOW GRADE (filler),2021-01-02,18,51.88
Ernie Banks,1956,15,LOW GRADE (filler),2020-12-25,11,37.59
Ernie Banks,1956,15,VG-VGEX (white back),2020-12-20,12,46
Ernie Banks,1956,15,VG-VGEX (wrinkle) (white back),2020-12-18,26,75
Ernie Banks,1956,15,LOW GRADE (filler) (white back),2020-12-18,6,15.51
Ernie Banks,1956,15,NR-MINT (white back),2020-12-16,33,213.5
Ernie Banks,1956,15,VG-VGEX,2020-12-13,13,90
Ernie Banks,1956,15,VG-VGEX,2020-12-08,20,45.85
Ernie Banks,1956,15,EX-EXMINT (white back),2020-11-22,27,110.5
