61 Deion Sanders
97 Curt Schilling
100 Will Clark
130 Bert Blyleven
148 Edgar Martinez
180 Rock Raines
220 Barry Bonds
288 Greg Briley
290 Robin Yount
331 Juan Gonzalez
431 Randy Johnson
457 Gregg Jefferies
461 Carlos Martinez
464 Jerome Walton
495 Lee Smith
521 Craig Worthington
536 Bob Geren
555 Jack Morris
670 Dennis Eckersley
675 Jim Abbott
698 Omar Vizquel
718 Gary Sheffield
750 Dale Murphy
752 Tom Gordon
790 Gary Carter
