title,date,bids,price
1970 Topps Set Break #600 Willie Mays LOW GRADE *GMCARDS*,2020-02-13,13,12.71
1970 Topps Set Break #600 Willie Mays EX-EXMINT *GMCARDS*,2020-02-10,22,110.5
1970 Topps Set Break #600 Willie Mays VG-VGEX (crease) *GMCARDS*,2020-02-06,10,19.5
1970 Topps Set Break #600 Willie Mays NR-MINT *GMCARDS*,2020-02-05,30,294.89
1970 Topps Set Break #600 Willie Mays VG-VGEX *GMCARDS*,2020-01-30,17,38
1970 Topps Set Break #600 Willie Mays VG-VGEX *GMCARDS*,2020-01-29,23,75
1970 Topps Set Break #600 Willie Mays EX-EXMINT *GMCARDS*,2020-01-17,10,53.52
1970 Topps Set Break #600 Willie Mays VG-VGEX (crease) *GMCARDS*,2020-01-16,18,26
1970 Topps Set Break #600 Willie Mays LOW GRADE (filler) *GMCARDS*,2020-01-16,10,10.5
1970 Topps Set Break #600 Willie Mays LOW GRADE (crease) *GMCARDS*,2020-01-16,9,15.5
1972 Topps Set Break # 37 Carl Yastrzemski EX-EXMINT *GMCARDS*,2020-04-10,6,5.5
1972 Topps Set Break # 37 Carl Yastrzemski VG-VGEX *GMCARDS*,2020-04-09,7,4.25
1972 Topps Set Break # 37 Carl Yastrzemski LOW GRADE (crease) *GMCARDS*,2020-04-09,2,0.98
1972 Topps Set Break # 37 Carl Yastrzemski LOW GRADE *GMCARDS*,2020-04-09,4,2.35
1972 Topps Set Break # 37 Carl Yastrzemski EX-EXMINT *GMCARDS*,2020-04-06,6,12.49
1972 Topps Set Break # 37 Carl Yastrzemski NR-MINT *GMCARDS*,2020-04-03,19,35
1972 Topps Set Break # 37 Carl Yastrzemski LOW GRADE *GMCARDS*,2020-04-02,4,3.58
1972 Topps Set Break # 37 Carl Yastrzemski NR-MINT *GMCARDS*,2020-03-29,18,35
1972 Topps Set Break # 37 Carl Yastrzemski VG-VGEX *GMCARDS*,2020-03-26,6,5.5
1972 Topps Set Break # 37 Carl Yastrzemski LOW GRADE (crease) *GMCARDS*,2020-03-26,3,2.7
1972 Topps Set Break # 37 Carl Yastrzemski EX-EXMINT *GMCARDS*,2020-03-22,8,8.01
1972 Topps Set Break # 37 Carl Yastrzemski VG-VGEX *GMCARDS*,2020-03-19,7,2.25
1972 Topps Set Break # 37 Carl Yastrzemski LOW GRADE *GMCARDS*,2020-03-19,3,1.36
1972 Topps Set Break # 37 Carl Yastrzemski EX-EXMINT *GMCARDS*,2020-03-17,9,30
1972 Topps Set Break # 37 Carl Yastrzemski NM-MT OR BETTER *GMCARDS*,2020-03-14,22,135.51
1972 Topps Set Break # 37 Carl Yastrzemski VG-VGEX *GMCARDS*,2020-03-12,5,5
1972 Topps Set Break # 37 Carl Yastrzemski VG-VGEX *GMCARDS*,2020-03-12,11,11.5
1972 Topps Set Break # 37 Carl Yastrzemski VG-VGEX *GMCARDS*,2020-03-12,5,4
1972 Topps Set Break # 37 Carl Yastrzemski NR-MINT *GMCARDS*,2020-03-09,15,20.76
1972 Topps Set Break # 37 Carl Yastrzemski VG-VGEX (crease) *GMCARDS*,2020-03-05,7,5.5
1972 Topps Set Break # 37 Carl Yastrzemski VG-VGEX *GMCARDS*,2020-03-05,8,8.5
1972 Topps Set Break # 37 Carl Yastrzemski EX-EXMINT *GMCARDS*,2020-03-04,17,14.5
1972 Topps Set Break # 37 Carl Yastrzemski NR-MINT *GMCARDS*,2020-03-01,13,22.5
1972 Topps Set Break # 37 Carl Yastrzemski VG-VGEX *GMCARDS*,2020-02-27,9,9.4
1972 Topps Set Break # 37 Carl Yastrzemski VG-VGEX (crease) *GMCARDS*,2020-02-20,6,5.55
1972 Topps Set Break # 37 Carl Yastrzemski NR-MINT *GMCARDS*,2020-02-18,16,31
1972 Topps Set Break # 37 Carl Yastrzemski VG-VGEX *GMCARDS*,2020-02-13,4,4.25
1972 Topps Set Break # 37 Carl Yastrzemski VG-VGEX *GMCARDS*,2020-02-13,3,2.25
1972 Topps Set Break # 37 Carl Yastrzemski LOW GRADE (white out) *GMCARDS*,2020-02-13,3,2.25
1972 Topps Set Break # 37 Carl Yastrzemski LOW GRADE (crease) *GMCARDS*,2020-02-13,5,2.34
1972 Topps Set Break # 37 Carl Yastrzemski NR-MINT *GMCARDS*,2020-02-10,12,18.5
1972 Topps Set Break # 37 Carl Yastrzemski NR-MINT *GMCARDS*,2020-02-05,15,21.5
1972 Topps Set Break # 37 Carl Yastrzemski VG-VGEX *GMCARDS*,2020-01-30,3,2.03
1972 Topps Set Break # 37 Carl Yastrzemski VG-VGEX *GMCARDS*,2020-01-30,6,8.27
1972 Topps Set Break # 37 Carl Yastrzemski VG-VGEX *GMCARDS*,2020-01-29,3,1.4
1972 Topps Set Break # 37 Carl Yastrzemski EX-EXMINT *GMCARDS*,2020-01-24,10,10.51
