name,year,number,price,own,lot_name,remaining_price,url,front_url,back_url
Mike Trout,2023,27,1.55,0,,0,/ViewCard.cfm/sid/299305/cid/20720017/2023-Topps-27-Mike-Trout,/Images/Cards/Baseball/299305/299305-20720017RepFr.jpg,/Images/Cards/Baseball/299305/299305-20720017RepBk.jpg
Albert Pujols,2023,5,0.22,0,,0,/ViewCard.cfm/sid/299305/cid/20719995/2023-Topps-5-Albert-Pujols,/Images/Cards/Baseball/299305/299305-20719995RepFr.jpg,/Images/Cards/Baseball/299305/299305-20719995RepBk.jpg
Miguel Cabrera,2023,24,0.2,0,,0,/ViewCard.cfm/sid/299305/cid/20720014/2023-Topps-24-Miguel-Cabrera,/Images/Cards/Baseball/299305/299305-20720014RepFr.jpg,/Images/Cards/Baseball/299305/299305-20720014RepBk.jpg
Justin Verlander,2023,425,,0,,0,/ViewCard.cfm/sid/299305/cid/21603464/2023-Topps-425-Justin-Verlander,/Images/Cards/Baseball/299305/299305-21603464Fr.jpg,/Images/Cards/Baseball/299305/299305-21603464Bk.jpg
Max Scherzer,2023,21,1.05,0,,0,/ViewCard.cfm/sid/299305/cid/20720011/2023-Topps-21-Max-Scherzer,/Images/Cards/Baseball/299305/299305-20720011RepFr.jpg,/Images/Cards/Baseball/299305/299305-20720011RepBk.jpg
Clayton Kershaw,2023,22,0.27,0,,0,/ViewCard.cfm/sid/299305/cid/20720012/2023-Topps-22-Clayton-Kershaw,/Images/Cards/Baseball/299305/299305-20720012RepFr.jpg,/Images/Cards/Baseball/299305/299305-20720012RepBk.jpg
Mookie Betts,2023,50,0.27,0,,0,/ViewCard.cfm/sid/299305/cid/20720040/2023-Topps-50-Mookie-Betts,/Images/Cards/Baseball/299305/299305-20720040Fr.jpg,/Images/Cards/Baseball/299305/299305-20720040Bk.jpg
Bryce Harper,2023,3,0.2,0,,0,/ViewCard.cfm/sid/299305/cid/20719993/2023-Topps-3-Bryce-Harper,/Images/Cards/Baseball/299305/299305-20719993RepFr.jpg,/Images/Cards/Baseball/299305/299305-20719993RepBk.jpg
Manny Machado,2023,400,1.5,0,,0,/ViewCard.cfm/sid/299305/cid/21603439/2023-Topps-400-Manny-Machado,/Images/Cards/Baseball/299305/299305-21603439Fr.jpg,/Images/Cards/Baseball/299305/299305-21603439Bk.jpg
Kris Bryant,2023,158,0.2,0,,0,/ViewCard.cfm/sid/299305/cid/20720148/2023-Topps-158-Kris-Bryant,/Images/Cards/Baseball/299305/299305-20720148Fr.jpg,/Images/Cards/Baseball/299305/299305-20720148Bk.jpg
Christian Yelich,2023,192,0.2,0,,0,/ViewCard.cfm/sid/299305/cid/20720182/2023-Topps-192-Christian-Yelich,/Images/Cards/Baseball/299305/299305-20720182Fr.jpg,/Images/Cards/Baseball/299305/299305-20720182Bk.jpg
Cody Bellinger,2023,131,0.2,0,,0,/ViewCard.cfm/sid/299305/cid/20720121/2023-Topps-131-Cody-Bellinger,/Images/Cards/Baseball/299305/299305-20720121RepFr.jpg,/Images/Cards/Baseball/299305/299305-20720121RepBk.jpg
Juan Soto,2023,1,0.2,0,,0,/ViewCard.cfm/sid/299305/cid/20719991/2023-Topps-1-Juan-Soto,/Images/Cards/Baseball/299305/299305-20719991RepFr.jpg,/Images/Cards/Baseball/299305/299305-20719991RepBk.jpg
Zack Greinke,2023,420,,0,,0,/ViewCard.cfm/sid/299305/cid/21603459/2023-Topps-420-Zack-Greinke,/Images/Cards/Baseball/299305/299305-21603459Fr.jpg,/Images/Cards/Baseball/299305/299305-21603459Bk.jpg
Joey Votto,2023,19,0.2,0,,0,/ViewCard.cfm/sid/299305/cid/20720009/2023-Topps-19-Joey-Votto,/Images/Cards/Baseball/299305/299305-20720009RepFr.jpg,/Images/Cards/Baseball/299305/299305-20720009RepBk.jpg
Yadier Molina,2023,4,1.5,0,,0,/ViewCard.cfm/sid/299305/cid/20719994/2023-Topps-4-Yadier-Molina,/Images/Cards/Baseball/299305/299305-20719994RepFr.jpg,/Images/Cards/Baseball/299305/299305-20719994RepBk.jpg
Freddie Freeman,2023,200,0.2,0,,0,/ViewCard.cfm/sid/299305/cid/20720190/2023-Topps-200-Freddie-Freeman,/Images/Cards/Baseball/299305/299305-20720190Fr.jpg,/Images/Cards/Baseball/299305/299305-20720190Bk.jpg
Jacob DeGrom,2023,48,0.2,0,,0,/ViewCard.cfm/sid/299305/cid/20720038/2023-Topps-48-Jacob-deGrom,/Images/Cards/Baseball/299305/299305-20720038Fr.jpg,/Images/Cards/Baseball/299305/299305-20720038Bk.jpg
Fernando Tatis Jr,2023,23,0.2,0,,0,/ViewCard.cfm/sid/299305/cid/20720013/2023-Topps-23-Fernando-Tatis-Jr.,/Images/Cards/Baseball/299305/299305-20720013RepFr.jpg,/Images/Cards/Baseball/299305/299305-20720013RepBk.jpg
Ronald Acuna Jr,2023,150,0.21,0,,0,/ViewCard.cfm/sid/299305/cid/20720140/2023-Topps-150-Ronald-Acuña-Jr.,/Images/Cards/Baseball/299305/299305-20720140Fr.jpg,/Images/Cards/Baseball/299305/299305-20720140Bk.jpg
Vladimir Guerrero Jr,2023,300,0.2,0,,0,/ViewCard.cfm/sid/299305/cid/20720290/2023-Topps-300-Vladimir-Guerrero-Jr.,/Images/Cards/Baseball/299305/299305-20720290Fr.jpg,/Images/Cards/Baseball/299305/299305-20720290Bk.jpg
