name,year,number,price,own,type,ebay
Trevor Hoffman,1995,7,0.35,0,bbwaa,1
Edgar Martinez,1995,55,0.39,0,bbwaa,1
Mike Mussina,1996,65,0.72,0,bbwaa,1
Tim Raines,1996,272,0.28,0,bbwaa,1
Andre Dawson,1996,275,0.23,0,bbwaa,1
Roberto Alomar,1996,289,1,0,bbwaa,1
Barry Larkin,1996,293,0.25,0,bbwaa,1
Craig Biggio,1996,306,0.23,0,bbwaa,1
Trevor Hoffman,1996,313,0.6,0,bbwaa,1
Ryne Sandberg,1996,356,0.75,0,bbwaa,1
Larry Walker,1996,363,0.2,0,bbwaa,1
Jeff Bagwell,1996,380,1.05,0,bbwaa,1
Tim Raines,1997,334,0.23,0,bbwaa,1
Matt Williams,1995,10,0.3,0,vet_or_other,1
Sammy Sosa,1995,11,0.3,0,vet_or_other,1
Juan Gonzalez,1995,70,0.48,0,vet_or_other,1
Kenny Lofton,1995,104,0.35,0,vet_or_other,1
Raul Mondesi,1995,180,0.3,0,vet_or_other,1
Curt Schilling,1995,297,0.3,0,vet_or_other,1
Fred McGriff,1995,355,0.4,0,vet_or_other,1
Omar Vizquel,1995,404,0.5,0,vet_or_other,1
Vince Coleman,1995,419,0.15,0,vet_or_other,1
Darryl Strawberry,1995,629,0.3,0,vet_or_other,1
Albert Belle,1996,45,0.2,0,vet_or_other,1
David Justice,1996,60,0.3,0,vet_or_other,1
Gary Sheffield,1996,80,0.2,0,vet_or_other,1
Omar Vizquel,1996,84,0.25,0,vet_or_other,1
Joe Carter,1996,115,0.2,0,vet_or_other,1
Curt Schilling,1996,128,0.2,0,vet_or_other,1
Raul Mondesi,1996,175,0.3,0,vet_or_other,1
Billy Wagner,1996,212,2.5,0,vet_or_other,1
Lee Smith,1996,251,0.25,0,vet_or_other,1
Sammy Sosa,1996,252,0.3,0,vet_or_other,1
Vince Coleman,1996,263,0.2,0,vet_or_other,1
Will Clark,1996,299,0.3,0,vet_or_other,1
Juan Gonzalez,1996,325,0.27,0,vet_or_other,1
Bobby Bonilla,1996,329,0.25,0,vet_or_other,1
Harold Baines,1996,357,0.18,0,vet_or_other,1
Matt Williams,1996,360,0.25,0,vet_or_other,1
Jose Canseco,1996,362,0.3,0,vet_or_other,1
Fred McGriff,1996,389,0.3,0,vet_or_other,1
Cecil Fielder,1996,393,0.2,0,vet_or_other,1
Rafael Palmeiro,1996,395,0.18,0,vet_or_other,1
Manny Ramirez,1996,400,0.3,0,vet_or_other,1
Kenny Lofton,1996,420,0.2,0,vet_or_other,1
Scott Rolen,1996,434,0.5,0,vet_or_other,1
Albert Belle,1997,69,0.3,0,vet_or_other,1
Carlos Delgado,1997,92,0.35,0,vet_or_other,1
Omar Vizquel,1997,173,0.35,0,vet_or_other,1
Julio Franco,1997,241,0.35,0,vet_or_other,1
Scott Rolen,1997,268,0.35,0,vet_or_other,1
Kenny Lofton,1997,350,0.6,0,vet_or_other,1
Bobby Bonilla,1997,374,0.23,0,vet_or_other,1
Matt Williams,1997,385,0.5,0,vet_or_other,1
