title,date,bids,price
1955 Topps Set Break # 4 Al Kaline VG-VGEX *GMCARDS*,2020-09-22,23,48
1955 Topps Set Break # 4 Al Kaline VG-VGEX (wrinkle) *GMCARDS*,2020-09-18,16,53.08
1955 Topps Set Break # 4 Al Kaline VG-VGEX *GMCARDS*,2020-09-13,29,113.5
1955 Topps Set Break # 4 Al Kaline EX-EXMINT *GMCARDS*,2020-09-05,32,158.5
1955 Topps Set Break # 4 Al Kaline LOW GRADE *GMCARDS*,2020-08-21,16,38.89
1955 Topps Set Break # 4 Al Kaline EX-EXMINT *GMCARDS*,2020-08-16,24,132.5
1955 Topps Set Break # 4 Al Kaline VG-VGEX *GMCARDS*,2020-08-09,20,70
1955 Topps Set Break # 28 Ernie Banks VG-VGEX (wrinkle) *GMCARDS*,2020-10-16,26,61
1955 Topps Set Break # 28 Ernie Banks VG-VGEX (wrinkle) *GMCARDS*,2020-10-09,18,69
1955 Topps Set Break # 28 Ernie Banks VG-VGEX *GMCARDS*,2020-10-04,19,178.53
1955 Topps Set Break # 28 Ernie Banks LOW GRADE (crease) *GMCARDS*,2020-10-02,20,45.79
1955 Topps Set Break # 28 Ernie Banks LOW GRADE *GMCARDS*,2020-10-02,21,46
1955 Topps Set Break # 28 Ernie Banks LOW GRADE (crease) *GMCARDS*,2020-09-25,19,38
1955 Topps Set Break # 28 Ernie Banks VG-VGEX *GMCARDS*,2020-09-22,28,144.5
1955 Topps Set Break # 28 Ernie Banks VG-VGEX *GMCARDS*,2020-09-20,18,118.05
1955 Topps Set Break # 28 Ernie Banks VG-VGEX (wrinkle) *GMCARDS*,2020-09-11,27,76.33
1955 Topps Set Break # 28 Ernie Banks LOW GRADE (crease) *GMCARDS*,2020-09-11,20,37
1955 Topps Set Break # 28 Ernie Banks VG-VGEX *GMCARDS*,2020-09-05,22,84.89
1955 Topps Set Break # 28 Ernie Banks VG-VGEX (crease) *GMCARDS*,2020-08-28,21,67.02
1955 Topps Set Break # 28 Ernie Banks EX-EXMINT *GMCARDS*,2020-08-27,32,227.5
1955 Topps Set Break # 28 Ernie Banks VG-VGEX *GMCARDS*,2020-08-09,16,59.15
1955 Topps Set Break # 28 Ernie Banks LOW GRADE (crease) *GMCARDS*,2020-07-31,11,47.01
1955 Topps Set Break # 31 Warren Spahn VG-VGEX (wrinkle) *GMCARDS*,2020-10-16,9,18.68
1955 Topps Set Break # 31 Warren Spahn VG-VGEX *GMCARDS*,2020-10-06,11,33.52
1955 Topps Set Break # 31 Warren Spahn VG-VGEX *GMCARDS*,2020-10-04,15,40
1955 Topps Set Break # 31 Warren Spahn VG-VGEX *GMCARDS*,2020-09-24,12,41.66
1955 Topps Set Break # 31 Warren Spahn VG-VGEX *GMCARDS*,2020-09-22,13,20.01
1955 Topps Set Break # 31 Warren Spahn VG-VGEX *GMCARDS*,2020-09-20,12,32
1955 Topps Set Break # 31 Warren Spahn VG-VGEX *GMCARDS*,2020-09-13,12,39.38
1955 Topps Set Break # 31 Warren Spahn VG-VGEX (crease) *GMCARDS*,2020-08-28,5,21.5
1955 Topps Set Break # 31 Warren Spahn LOW GRADE (crease) *GMCARDS*,2020-08-21,17,26
1955 Topps Set Break # 31 Warren Spahn VG-VGEX *GMCARDS*,2020-08-09,55,69
1955 Topps Set Break # 31 Warren Spahn LOW GRADE (crease) *GMCARDS*,2020-07-31,6,13.51
1955 Topps Set Break # 31 Warren Spahn LOW GRADE (crease) *GMCARDS*,2020-07-31,8,13.5
1955 Topps Set Break # 47 Hank Aaron VG-VGEX *GMCARDS*,2020-10-04,38,290
1955 Topps Set Break # 47 Hank Aaron VG-VGEX *GMCARDS*,2020-09-22,43,457.1
1955 Topps Set Break # 47 Hank Aaron VG-VGEX *GMCARDS*,2020-09-20,39,221.5
1955 Topps Set Break # 47 Hank Aaron LOW GRADE (crease) *GMCARDS*,2020-08-28,28,164.02
1955 Topps Set Break # 47 Hank Aaron LOW GRADE (crease) *GMCARDS*,2020-08-28,16,62
1955 Topps Set Break # 47 Hank Aaron LOW GRADE (crease) *GMCARDS*,2020-07-31,24,158.5
1955 Topps Set Break # 50 Jackie Robinson VG-VGEX (crease) *GMCARDS*,2020-10-02,38,277
1955 Topps Set Break # 50 Jackie Robinson VG-VGEX *GMCARDS*,2020-09-22,40,312.5
1955 Topps Set Break # 50 Jackie Robinson VG-VGEX *GMCARDS*,2020-09-20,32,380
1955 Topps Set Break # 50 Jackie Robinson LOW GRADE (crease) *GMCARDS*,2020-09-18,33,187.5
1955 Topps Set Break #123 Sandy Koufax LOW GRADE (crease) *GMCARDS*,2020-09-18,24,320
1955 Topps Set Break #123 Sandy Koufax VG-VGEX *GMCARDS*,2020-09-09,33,553
1955 Topps Set Break #123 Sandy Koufax LOW GRADE (crease) (tear) *GMCARDS*,2020-08-21,28,205.5
1955 Topps Set Break #123 Sandy Koufax LOW GRADE (crease) *GMCARDS*,2020-08-14,31,274
1955 Topps #164 Roberto Clemente VG-VGEX (minimum size) (wrinkle) *GMCARDS*,2020-08-14,51,775
1955 Topps Set Break #194 Willie Mays VG-VGEX *GMCARDS*,2020-10-04,29,266
1955 Topps Set Break #194 Willie Mays LOW GRADE *GMCARDS*,2020-09-25,34,191.5
1955 Topps Set Break #194 Willie Mays VG-VGEX (wrinkle) *GMCARDS*,2020-09-11,30,186.5
1955 Topps Set Break #194 Willie Mays LOW GRADE (crease) *GMCARDS*,2020-09-11,24,142.5
1955 Topps Set Break #194 Willie Mays EX-EXMINT *GMCARDS*,2020-09-09,56,716.96
1955 Topps Set Break #194 Willie Mays VG-VGEX (crease) *GMCARDS*,2020-08-21,37,353.48
1955 Topps Set Break #194 Willie Mays VG-VGEX (stain) *GMCARDS*,2020-08-14,36,282.77
1956 Topps Set Break # 5 - Ted Williams EX-EXMINT (white back) *GMCARDS*,2020-10-04,34,288
1956 Topps Set Break # 5 - Ted Williams LOW GRADE (crease) *GMCARDS*,2020-09-25,18,96
1956 Topps Set Break # 5 - Ted Williams VG-VGEX (crease) (white back) *GMCARDS*,2020-09-25,32,91.1
1956 Topps Set Break # 5 - Ted Williams LOW GRADE (filler) *GMCARDS*,2020-09-25,25,53
1956 Topps Set Break # 5 - Ted Williams VG-VGEX (white back) *GMCARDS*,2020-09-22,21,188
1956 Topps Set Break # 5 - Ted Williams VG-VGEX (wrinkle) *GMCARDS*,2020-09-18,30,202.1
1956 Topps # 5 - Ted Williams LOW GRADE (crease) (white back) *GMCARDS*,2020-09-18,16,80
1956 Topps Set Break # 5 - Ted Williams EX-EXMINT (white back) *GMCARDS*,2020-09-13,30,258
1956 Topps Set Break # 5 - Ted Williams LOW GRADE (crease) *GMCARDS*,2020-09-11,19,52
1956 Topps Set Break # 5 - Ted Williams LOW GRADE (crease) *GMCARDS*,2020-09-11,20,67.66
1956 Topps Set Break # 5 - Ted Williams VG-VGEX (white back) *GMCARDS*,2020-08-09,29,152.5
1956 Topps Set Break # 10 - Warren Spahn NR-MINT *GMCARDS*,2020-10-25,20,117.5
1956 Topps Set Break # 10 - Warren Spahn VG-VGEX (wrinkle) *GMCARDS*,2020-10-09,13,31.55
1956 Topps Set Break # 10 - Warren Spahn VG-VGEX (white back) *GMCARDS*,2020-10-06,9,24.52
1956 Topps Set Break # 10 - Warren Spahn EX-EXMINT (white back) *GMCARDS*,2020-10-04,19,76
1956 Topps Set Break # 10 - Warren Spahn EX-EXMINT *GMCARDS*,2020-09-30,11,37.06
1956 Topps Set Break # 10 - Warren Spahn VG-VGEX *GMCARDS*,2020-09-28,21,36
1956 Topps Set Break # 10 - Warren Spahn VG-VGEX (white back) *GMCARDS*,2020-09-24,9,27.75
1956 Topps Set Break # 10 - Warren Spahn EX-EXMINT (white back) *GMCARDS*,2020-09-22,24,78.26
1956 Topps Set Break # 10 - Warren Spahn EX-EXMINT *GMCARDS*,2020-09-20,13,69.66
1956 Topps # 10 - Warren Spahn EX-EXMINT (white back) (marked) *GMCARDS*,2020-09-18,10,34
1956 Topps Set Break # 10 - Warren Spahn EX-EXMINT (white back) *GMCARDS*,2020-09-16,19,68
1956 Topps Set Break # 10 - Warren Spahn EX-EXMINT (white back) *GMCARDS*,2020-09-13,21,67
1956 Topps Set Break # 10 - Warren Spahn LOW GRADE (white back) *GMCARDS*,2020-09-11,12,21.06
1956 Topps Set Break # 10 - Warren Spahn LOW GRADE (filler) (tape) *GMCARDS*,2020-08-28,14,18.5
1956 Topps Set Break # 10 - Warren Spahn VG-VGEX (white back) *GMCARDS*,2020-08-27,10,22.5
1956 Topps Set Break # 10 - Warren Spahn VG-VGEX *GMCARDS*,2020-08-19,25,28.5
1956 Topps Set Break # 10 - Warren Spahn VG-VGEX (wrinkle) *GMCARDS*,2020-08-14,15,33
1956 Topps Set Break # 10 - Warren Spahn LOW GRADE (white back) *GMCARDS*,2020-08-14,10,12.5
1956 Topps Set Break # 15 - Ernie Banks EX-EXMINT (white back) *GMCARDS*,2020-10-06,23,95.88
1956 Topps Set Break # 15 - Ernie Banks EX-EXMINT (white back) *GMCARDS*,2020-10-04,19,84
1956 Topps Set Break # 15 - Ernie Banks VG-VGEX *GMCARDS*,2020-09-30,14,104.5
1956 Topps Set Break # 15 - Ernie Banks VG-VGEX (white back) *GMCARDS*,2020-09-24,11,35
1956 Topps Set Break # 15 - Ernie Banks VG-VGEX (white back) *GMCARDS*,2020-09-22,20,79
1956 Topps Set Break # 15 - Ernie Banks VG-VGEX (white back) *GMCARDS*,2020-09-20,18,71
1956 Topps Set Break # 15 - Ernie Banks LOW GRADE (filler) *GMCARDS*,2020-09-18,22,40.39
1956 Topps Set Break # 15 - Ernie Banks VG-VGEX (white back) *GMCARDS*,2020-09-16,24,61.6
1956 Topps Set Break # 15 - Ernie Banks EX-EXMINT *GMCARDS*,2020-09-13,23,140.5
1956 Topps Set Break # 15 - Ernie Banks VG-VGEX (crease) (white back) *GMCARDS*,2020-09-11,20,39
1956 Topps Set Break # 15 - Ernie Banks LOW GRADE *GMCARDS*,2020-09-11,14,28
1956 Topps Set Break # 15 - Ernie Banks VG-VGEX (minimum size) *GMCARDS*,2020-09-04,16,76
1956 Topps Set Break # 15 - Ernie Banks VG-VGEX *GMCARDS*,2020-08-23,30,83.75
1956 Topps Set Break # 15 - Ernie Banks VG-VGEX (wrinkle) *GMCARDS*,2020-08-21,12,42
1956 Topps Set Break # 15 - Ernie Banks VG-VGEX (crease) *GMCARDS*,2020-08-21,11,38
1956 Topps Set Break # 15 - Ernie Banks VG-VGEX (crease) (white back) *GMCARDS*,2020-08-21,12,26.55
1956 Topps Set Break # 15 - Ernie Banks VG-VGEX (white back) *GMCARDS*,2020-08-16,26,104.74
1956 Topps # 15 - Ernie Banks LOW GRADE (crease) (white back) *GMCARDS*,2020-07-31,10,14.5
1956 Topps Set Break # 15 - Ernie Banks LOW GRADE (crease) (white) *GMCARDS*,2020-07-31,12,21.5
1956 Topps Set Break # 20 - Al Kaline VG-VGEX (white back) *GMCARDS*,2020-10-25,13,57
1956 Topps Set Break # 20 - Al Kaline VG-VGEX *GMCARDS*,2020-10-18,19,66
1956 Topps Set Break # 20 - Al Kaline VG-VGEX (white back) *GMCARDS*,2020-10-07,9,28.88
1956 Topps Set Break # 20 - Al Kaline VG-VGEX (white back) *GMCARDS*,2020-10-06,16,53.55
1956 Topps Set Break # 20 - Al Kaline VG-VGEX (white back) *GMCARDS*,2020-10-04,19,51
1956 Topps Set Break # 20 - Al Kaline VG-VGEX *GMCARDS*,2020-10-01,12,57
