name,year,number,url,price,front_url,back_url
Roberto Alomar,1999,248,/ViewCard.cfm/sid/1340/cid/235050/1999-Topps-248-Roberto-Alomar,0.8,/Images/Cards/Baseball/1340/1340-248Fr.jpg,/Images/Cards/Baseball/1340/1340-248Bk.jpg
Roberto Alomar,2000,140,/ViewCard.cfm/sid/1411/cid/251513/2000-Topps-140-Roberto-Alomar,0.79,/Images/Cards/Baseball/1411/1411-140Fr.jpg,/Images/Cards/Baseball/1411/1411-140Bk.jpg
Roberto Alomar,2001,616,/ViewCard.cfm/sid/1486/cid/280230/2001-Topps-616-Roberto-Alomar,1,/Images/Cards/Baseball/1486/1486-616Fr.jpg,/Images/Cards/Baseball/1486/1486-616Bk.jpg
Roberto Alomar,2002,520,/ViewCard.cfm/sid/1562/cid/303681/2002-Topps-520-Roberto-Alomar,0.8,/Images/Cards/Baseball/1562/1562-520Fr.jpg,/Images/Cards/Baseball/1562/1562-520Bk.jpg
Roberto Alomar,2003,60,/ViewCard.cfm/sid/1642/cid/32409/2003-Topps-60-Roberto-Alomar,0.8,/Images/Cards/Baseball/1642/1642-60Fr.jpg,/Images/Cards/Baseball/1642/1642-60Bk.jpg
Roberto Alomar,2004,456,/ViewCard.cfm/sid/1727/cid/210805/2004-Topps-456-Roberto-Alomar,0.99,/Images/Cards/Baseball/1727/1727-456Fr.jpg,/Images/Cards/Baseball/1727/1727-456Bk.jpg
Roberto Alomar,2005,626,/ViewCard.cfm/sid/1824/cid/211750/2005-Topps-626-Roberto-Alomar,0.83,/Images/Cards/Baseball/1824/1824-626Fr.jpg,/Images/Cards/Baseball/1824/1824-626Bk.jpg
Yogi Berra,1952,191,/ViewCard.cfm/sid/26/cid/2386/1952-Topps-191-Yogi-Berra,456,/Images/Cards/Baseball/26/26-2386RepFr.jpg,/Images/Cards/Baseball/26/26-2386RepBk.jpg
Yogi Berra,1953,104,/ViewCard.cfm/sid/29/cid/6021/1953-Topps-104-Yogi-Berra,65,/Images/Cards/Baseball/29/29-104Fr.jpg,/Images/Cards/Baseball/29/29-104Bk.jpg
Yogi Berra,1954,50,/ViewCard.cfm/sid/33/cid/6241/1954-Topps-50-Yogi-Berra,206,/Images/Cards/Baseball/33/33-50Fr.jpg,/Images/Cards/Baseball/33/33-50Bk.jpg
Yogi Berra,1955,198,/ViewCard.cfm/sid/36/cid/6637/1955-Topps-198-Yogi-Berra,100,/Images/Cards/Baseball/36/36-198Fr.jpg,/Images/Cards/Baseball/36/36-198Bk.jpg
Yogi Berra,1956,110b,/ViewCard.cfm/sid/37/cid/6769/1956-Topps-110b-Yogi-Berra,83,/Images/Cards/Baseball/37/37-110Fr.jpg,/Images/Cards/Baseball/37/37-110Bk.jpg
Yogi Berra,1957,2,/ViewCard.cfm/sid/38/cid/7003/1957-Topps-2-Yogi-Berra,200,/Images/Cards/Baseball/38/38-7003RepFr.jpg,/Images/Cards/Baseball/38/38-7003RepBk.jpg
Yogi Berra,1958,370,/ViewCard.cfm/sid/40/cid/27403/1958-Topps-370-Yogi-Berra,70,/Images/Cards/Baseball/40/40-370Fr.jpg,/Images/Cards/Baseball/40/40-370Bk.jpg
Yogi Berra,1959,180,/ViewCard.cfm/sid/43/cid/8137/1959-Topps-180-Yogi-Berra,25,/Images/Cards/Baseball/43/43-180Fr.jpg,/Images/Cards/Baseball/43/43-180Bk.jpg
Yogi Berra,1960,480,/ViewCard.cfm/sid/47/cid/28080/1960-Topps-480-Yogi-Berra,40,/Images/Cards/Baseball/47/47-480Fr.jpg,/Images/Cards/Baseball/47/47-480Bk.jpg
Yogi Berra,1961,425,/ViewCard.cfm/sid/51/cid/9536/1961-Topps-425-Yogi-Berra,53,/Images/Cards/Baseball/51/51-425Fr.jpg,/Images/Cards/Baseball/51/51-425Bk.jpg
Yogi Berra,1962,360,/ViewCard.cfm/sid/55/cid/28621/1962-Topps-360-Yogi-Berra,23,/Images/Cards/Baseball/55/55-360Fr.jpg,/Images/Cards/Baseball/55/55-360Bk.jpg
