year,league,team,wins,losses,number,name,set_url
1956,NL,Milwaukee Braves,92,62,,,https://www.tcdb.com/ViewTeams.cfm/sid/37/1956-Topps
1956,NL,Cincinnati Redlegs,91,63,,,https://www.tcdb.com/ViewTeams.cfm/sid/37/1956-Topps
1956,AL,Cleveland Indians,88,66,,,https://www.tcdb.com/ViewTeams.cfm/sid/37/1956-Topps
1956,AL,Chicago White Sox,85,69,,,https://www.tcdb.com/ViewTeams.cfm/sid/37/1956-Topps
1956,AL,Boston Red Sox,84,70,,,https://www.tcdb.com/ViewTeams.cfm/sid/37/1956-Topps
1956,AL,Detroit Tigers,82,72,,,https://www.tcdb.com/ViewTeams.cfm/sid/37/1956-Topps
1956,NL,St. Louis Cardinals,76,78,,,https://www.tcdb.com/ViewTeams.cfm/sid/37/1956-Topps
1956,NL,Philadelphia Phillies,71,83,,,https://www.tcdb.com/ViewTeams.cfm/sid/37/1956-Topps
1956,AL,Baltimore Orioles,69,85,,,https://www.tcdb.com/ViewTeams.cfm/sid/37/1956-Topps
1956,NL,New York Giants,67,87,,,https://www.tcdb.com/ViewTeams.cfm/sid/37/1956-Topps
1956,NL,Pittsburgh Pirates,66,88,,,https://www.tcdb.com/ViewTeams.cfm/sid/37/1956-Topps
1956,NL,Chicago Cubs,60,94,,,https://www.tcdb.com/ViewTeams.cfm/sid/37/1956-Topps
1956,AL,Washington Senators,59,95,,,https://www.tcdb.com/ViewTeams.cfm/sid/37/1956-Topps
1956,AL,Kansas City Athletics,52,102,,,https://www.tcdb.com/ViewTeams.cfm/sid/37/1956-Topps
1957,AL,New York Yankees,98,56,,,https://www.tcdb.com/ViewTeams.cfm/sid/38/1957-Topps
1957,NL,Milwaukee Braves,95,59,,,https://www.tcdb.com/ViewTeams.cfm/sid/38/1957-Topps
1957,AL,Chicago White Sox,90,64,,,https://www.tcdb.com/ViewTeams.cfm/sid/38/1957-Topps
1957,NL,St. Louis Cardinals,87,67,,,https://www.tcdb.com/ViewTeams.cfm/sid/38/1957-Topps
1957,NL,Brooklyn Dodgers,84,70,,,https://www.tcdb.com/ViewTeams.cfm/sid/38/1957-Topps
1957,AL,Boston Red Sox,82,72,,,https://www.tcdb.com/ViewTeams.cfm/sid/38/1957-Topps
1957,NL,Cincinnati Redlegs,80,74,,,https://www.tcdb.com/ViewTeams.cfm/sid/38/1957-Topps
1957,AL,Detroit Tigers,78,76,,,https://www.tcdb.com/ViewTeams.cfm/sid/38/1957-Topps
1957,NL,Philadelphia Phillies,77,77,,,https://www.tcdb.com/ViewTeams.cfm/sid/38/1957-Topps
1957,AL,Baltimore Orioles,76,76,,,https://www.tcdb.com/ViewTeams.cfm/sid/38/1957-Topps
1957,AL,Cleveland Indians,76,77,,,https://www.tcdb.com/ViewTeams.cfm/sid/38/1957-Topps
1957,NL,New York Giants,69,85,,,https://www.tcdb.com/ViewTeams.cfm/sid/38/1957-Topps
1957,NL,Chicago Cubs,62,92,,,https://www.tcdb.com/ViewTeams.cfm/sid/38/1957-Topps
1957,NL,Pittsburgh Pirates,62,92,,,https://www.tcdb.com/ViewTeams.cfm/sid/38/1957-Topps
1957,AL,Kansas City Athletics,59,94,,,https://www.tcdb.com/ViewTeams.cfm/sid/38/1957-Topps
1957,AL,Washington Senators,55,99,,,https://www.tcdb.com/ViewTeams.cfm/sid/38/1957-Topps
1958,NL,Milwaukee Braves,92,62,,,https://www.tcdb.com/ViewTeams.cfm/sid/40/1958-Topps
1958,AL,New York Yankees,92,62,,,https://www.tcdb.com/ViewTeams.cfm/sid/40/1958-Topps
1958,NL,Pittsburgh Pirates,84,70,,,https://www.tcdb.com/ViewTeams.cfm/sid/40/1958-Topps
1958,AL,Chicago White Sox,82,72,,,https://www.tcdb.com/ViewTeams.cfm/sid/40/1958-Topps
1958,NL,San Francisco Giants,80,74,,,https://www.tcdb.com/ViewTeams.cfm/sid/40/1958-Topps
1958,AL,Boston Red Sox,79,75,,,https://www.tcdb.com/ViewTeams.cfm/sid/40/1958-Topps
1958,AL,Cleveland Indians,77,76,,,https://www.tcdb.com/ViewTeams.cfm/sid/40/1958-Topps
1958,AL,Detroit Tigers,77,77,,,https://www.tcdb.com/ViewTeams.cfm/sid/40/1958-Topps
1958,NL,Cincinnati Redlegs,76,78,,,https://www.tcdb.com/ViewTeams.cfm/sid/40/1958-Topps
1958,AL,Baltimore Orioles,74,79,,,https://www.tcdb.com/ViewTeams.cfm/sid/40/1958-Topps
1958,AL,Kansas City Athletics,73,81,,,https://www.tcdb.com/ViewTeams.cfm/sid/40/1958-Topps
1958,NL,Chicago Cubs,72,82,,,https://www.tcdb.com/ViewTeams.cfm/sid/40/1958-Topps
1958,NL,St. Louis Cardinals,72,82,,,https://www.tcdb.com/ViewTeams.cfm/sid/40/1958-Topps
1958,NL,Los Angeles Dodgers,71,83,,,https://www.tcdb.com/ViewTeams.cfm/sid/40/1958-Topps
1958,NL,Philadelphia Phillies,69,85,,,https://www.tcdb.com/ViewTeams.cfm/sid/40/1958-Topps
1958,AL,Washington Senators,61,93,,,https://www.tcdb.com/ViewTeams.cfm/sid/40/1958-Topps
1959,AL,Chicago White Sox,94,60,,,https://www.tcdb.com/ViewTeams.cfm/sid/43/1959-Topps
1959,AL,Cleveland Indians,89,65,,,https://www.tcdb.com/ViewTeams.cfm/sid/43/1959-Topps
1959,NL,Los Angeles Dodgers,88,68,,,https://www.tcdb.com/ViewTeams.cfm/sid/43/1959-Topps
1959,NL,Milwaukee Braves,86,70,,,https://www.tcdb.com/ViewTeams.cfm/sid/43/1959-Topps
1959,NL,San Francisco Giants,83,71,,,https://www.tcdb.com/ViewTeams.cfm/sid/43/1959-Topps
1959,AL,New York Yankees,79,75,,,https://www.tcdb.com/ViewTeams.cfm/sid/43/1959-Topps
1959,NL,Pittsburgh Pirates,78,76,,,https://www.tcdb.com/ViewTeams.cfm/sid/43/1959-Topps
1959,AL,Detroit Tigers,76,78,,,https://www.tcdb.com/ViewTeams.cfm/sid/43/1959-Topps
1959,AL,Boston Red Sox,75,79,,,https://www.tcdb.com/ViewTeams.cfm/sid/43/1959-Topps
1959,AL,Baltimore Orioles,74,80,,,https://www.tcdb.com/ViewTeams.cfm/sid/43/1959-Topps
1959,NL,Chicago Cubs,74,80,,,https://www.tcdb.com/ViewTeams.cfm/sid/43/1959-Topps
1959,,Cincinnati Redlegs,74,80,,,https://www.tcdb.com/ViewTeams.cfm/sid/43/1959-Topps
1959,NL,St. Louis Cardinals,71,83,,,https://www.tcdb.com/ViewTeams.cfm/sid/43/1959-Topps
1959,AL,Kansas City Athletics,66,88,,,https://www.tcdb.com/ViewTeams.cfm/sid/43/1959-Topps
1959,NL,Philadelphia Phillies,64,90,,,https://www.tcdb.com/ViewTeams.cfm/sid/43/1959-Topps
1959,AL,Washington Senators,63,91,,,https://www.tcdb.com/ViewTeams.cfm/sid/43/1959-Topps
1960,AL,New York Yankees,97,57,,,https://www.tcdb.com/ViewTeams.cfm/sid/47/1960-Topps
1960,NL,Pittsburgh Pirates,95,59,,,https://www.tcdb.com/ViewTeams.cfm/sid/47/1960-Topps
1960,AL,Baltimore Orioles,89,65,,,https://www.tcdb.com/ViewTeams.cfm/sid/47/1960-Topps
1960,NL,Milwaukee Braves,88,66,,,https://www.tcdb.com/ViewTeams.cfm/sid/47/1960-Topps
1960,AL,Chicago White Sox,87,67,,,https://www.tcdb.com/ViewTeams.cfm/sid/47/1960-Topps
