title,date,bids,price
1954 Topps Set Break # 90 - Willie Mays LOW GRADE (crease) *GMCARDS*,2020-11-06,36,144.5
1954 Topps Set Break # 90 - Willie Mays LOW GRADE (crease) *GMCARDS*,2020-10-09,31,108.5
1954 Topps Set Break #94 Ernie Banks VG-VGEX *GMCARDS*,2020-12-16,26,716
1954 Topps Set Break #201 Al Kaline LOW GRADE (crease) *GMCARDS*,2020-12-18,27,155.79
1954 Topps Set Break #201 - Al Kaline LOW GRADE (filler) *GMCARDS*,2020-12-04,36,232.5
1954 Topps Set Break #201 - Al Kaline VG-VGEX (crease) *GMCARDS*,2020-11-27,40,335
1955 Topps Set Break # 2 Ted Williams VG-VGEX *GMCARDS*,2020-01-04,20,246.3
1955 Topps Set Break # 2 Ted Williams LOW GRADE (crease) *GMCARDS*,2020-01-02,22,107.5
1955 Topps Set Break # 2 Ted Williams LOW GRADE *GMCARDS*,2020-01-02,35,139.49
1955 Topps Set Break #2 Ted Williams LOW GRADE (crease) *GMCARDS*,2020-12-25,29,135.3
1955 Topps Set Break # 2 Ted Williams LOW GRADE (crease) *GMCARDS*,2020-12-25,16,71.82
1955 Topps Set Break #2 Ted Williams VG-VGEX (crease) *GMCARDS*,2020-12-18,20,127.5
1955 Topps Set Break # 2 Ted Williams LOW GRADE (filler) *GMCARDS*,2020-12-11,17,51.77
1955 Topps Set Break # 2 Ted Williams VG-VGEX (crease) *GMCARDS*,2020-12-04,34,198.55
1955 Topps Set Break # 2 Ted Williams LOW GRADE *GMCARDS*,2020-11-27,23,152.5
1955 Topps Set Break # 2 Ted Williams LOW GRADE (filler) *GMCARDS*,2020-11-20,11,71
1955 Topps Set Break # 2 Ted Williams LOW GRADE (filler) *GMCARDS*,2020-11-06,31,86
1955 Topps Set Break # 4 Al Kaline LOW GRADE (crease) *GMCARDS*,2020-01-02,14,20.5
1955 Topps Set Break # 4 Al Kaline LOW GRADE (crease) *GMCARDS*,2020-01-02,24,36
1955 Topps Set Break #4 Al Kaline VG-VGEX (wrinkle) *GMCARDS*,2020-12-25,17,62
1955 Topps Set Break #4 Al Kaline LOW GRADE (crease) *GMCARDS*,2020-12-18,12,32
1955 Topps Set Break # 4 Al Kaline LOW GRADE (crease) *GMCARDS*,2020-12-18,8,26.02
1955 Topps Set Break # 4 Al Kaline VG-VGEX *GMCARDS*,2020-12-08,25,42.01
1955 Topps Set Break # 4 Al Kaline LOW GRADE *GMCARDS*,2020-12-04,15,35
1955 Topps Set Break # 4 Al Kaline VG-VGEX *GMCARDS*,2020-12-03,19,113.61
1955 Topps Set Break # 4 Al Kaline EX-EXMINT *GMCARDS*,2020-11-29,26,155.5
1955 Topps Set Break # 4 Al Kaline VG-VGEX (crease) *GMCARDS*,2020-11-27,18,33
1955 Topps Set Break # 4 Al Kaline LOW GRADE *GMCARDS*,2020-11-27,25,41
1955 Topps Set Break # 4 Al Kaline VG-VGEX *GMCARDS*,2020-11-22,16,113.5
1955 Topps Set Break # 4 Al Kaline LOW GRADE (crease) *GMCARDS*,2020-11-20,16,28
1955 Topps Set Break # 4 Al Kaline EX-EXMINT *GMCARDS*,2020-11-09,33,360.99
1955 Topps Set Break # 4 Al Kaline VG-VGEX *GMCARDS*,2020-11-08,12,81
1955 Topps Set Break # 4 Al Kaline VG-VGEX *GMCARDS*,2020-11-01,21,161.5
1955 Topps Set Break # 28 Ernie Banks VG-VGEX *GMCARDS*,2020-01-04,9,107.83
1955 Topps Set Break #28 Ernie Banks VG-VGEX (crease) (marked) *GMCARDS*,2020-12-18,14,36.99
1955 Topps Set Break # 28 Ernie Banks EX-EXMINT *GMCARDS*,2020-12-08,23,136.5
1955 Topps Set Break # 28 Ernie Banks EX-EXMINT *GMCARDS*,2020-11-29,27,143
1955 Topps Set Break # 28 Ernie Banks LOW GRADE (crease) *GMCARDS*,2020-11-06,16,50.98
1955 Topps Set Break # 28 Ernie Banks LOW GRADE (crease) *GMCARDS*,2020-11-06,16,56
1955 Topps Set Break # 28 Ernie Banks LOW GRADE *GMCARDS*,2020-11-06,22,29.27
1955 Topps Set Break # 28 Ernie Banks VG-VGEX (wrinkle) *GMCARDS*,2020-10-16,26,61
1955 Topps Set Break # 28 Ernie Banks VG-VGEX (wrinkle) *GMCARDS*,2020-10-09,18,69
1955 Topps Set Break #31 Warren Spahn VG-VGEX *GMCARDS*,2020-12-20,21,36.56
1955 Topps Set Break #31 Warren Spahn VG-VGEX *GMCARDS*,2020-12-16,16,32.11
1955 Topps Set Break # 31 Warren Spahn VG-VGEX *GMCARDS*,2020-12-13,23,124.5
1955 Topps Set Break # 31 Warren Spahn EX-EXMINT *GMCARDS*,2020-12-08,18,76
1955 Topps Set Break # 31 Warren Spahn LOW GRADE (crease) *GMCARDS*,2020-12-04,12,11.5
1955 Topps Set Break # 31 Warren Spahn LOW GRADE *GMCARDS*,2020-12-04,14,19.56
1955 Topps Set Break # 31 Warren Spahn VG-VGEX *GMCARDS*,2020-12-03,16,34
1955 Topps Set Break # 31 Warren Spahn EX-EXMINT *GMCARDS*,2020-11-29,22,91
1955 Topps Set Break # 31 Warren Spahn LOW GRADE (crease) *GMCARDS*,2020-11-27,9,16.55
1955 Topps Set Break # 31 Warren Spahn LOW GRADE (filler) *GMCARDS*,2020-11-20,13,12.6
1955 Topps Set Break # 31 Warren Spahn VG-VGEX *GMCARDS*,2020-11-19,11,31
1955 Topps Set Break # 31 Warren Spahn LOW GRADE (crease) *GMCARDS*,2020-11-13,7,13.5
