name,year,number,price,own,lot_name,remaining_price,url,front_url,back_url
Nellie Fox,1962,73,5,,,5,/ViewCard.cfm/sid/55/cid/28324/1962-Topps-73-Nellie-Fox,/Images/Cards/Baseball/55/55-73Fr.jpg,/Images/Cards/Baseball/55/55-28324RepBk.jpg
Ron Santo,1962,170,7.5,,,7.5,/ViewCard.cfm/sid/55/cid/28427/1962-Topps-170-Ron-Santo,/Images/Cards/Baseball/55/55-170Fr.jpg,/Images/Cards/Baseball/55/55-170Bk.jpg
Richie Ashburn,1962,213,10,,,10,/ViewCard.cfm/sid/55/cid/28474/1962-Topps-213-Richie-Ashburn,/Images/Cards/Baseball/55/55-213Fr.jpg,/Images/Cards/Baseball/55/55-213Bk.jpg
Bill Mazeroski,1962,353,7,,,7,/ViewCard.cfm/sid/55/cid/28614/1962-Topps-353-Bill-Mazeroski,/Images/Cards/Baseball/55/55-353Fr.jpg,/Images/Cards/Baseball/55/55-353Bk.jpg
Jim Bunning,1962,460,15,,,15,/ViewCard.cfm/sid/55/cid/28722/1962-Topps-460-Jim-Bunning,/Images/Cards/Baseball/55/55-460Fr.jpg,/Images/Cards/Baseball/55/55-460Bk.jpg
Red Schoendienst,1962,575,32,,,32,/ViewCard.cfm/sid/55/cid/28839/1962-Topps-575-Red-Schoendienst,/Images/Cards/Baseball/55/55-28839RepFr.jpg,/Images/Cards/Baseball/55/55-28839RepBk.jpg
Richie Ashburn,1963,135,8,,,8,/ViewCard.cfm/sid/60/cid/10448/1963-Topps-135-Richie-Ashburn,/Images/Cards/Baseball/60/60-135Fr.jpg,/Images/Cards/Baseball/60/60-135Bk.jpg
Ron Santo,1963,252,10,,,10,/ViewCard.cfm/sid/60/cid/10565/1963-Topps-252-Ron-Santo,/Images/Cards/Baseball/60/60-252Fr.jpg,/Images/Cards/Baseball/60/60-252Bk.jpg
Bill Mazeroski,1963,323,8,,,8,/ViewCard.cfm/sid/60/cid/10636/1963-Topps-323-Bill-Mazeroski,/Images/Cards/Baseball/60/60-323Fr.jpg,/Images/Cards/Baseball/60/60-323Bk.jpg
Jim Bunning,1963,365,10,,,10,/ViewCard.cfm/sid/60/cid/10679/1963-Topps-365-Jim-Bunning,/Images/Cards/Baseball/60/60-365Fr.jpg,/Images/Cards/Baseball/60/60-365Bk.jpg
