year,number,name,team,card_url
2016,232,Michael Conforto,New York Mets,/ViewCard.cfm/sid/115847/cid/8312648/2016-Topps-232-Michael-Conforto
2016,350,Kris Bryant,Chicago Cubs,/ViewCard.cfm/sid/115847/cid/8312766/2016-Topps-350-Kris-Bryant
2016,543,Carlos Rodon,Chicago White Sox,/ViewCard.cfm/sid/115847/cid/8624806/2016-Topps-543-Carlos-Rodon
2016,650,Carlos Correa,Houston Astros,/ViewCard.cfm/sid/115847/cid/8624913/2016-Topps-650-Carlos-Correa
2016,656,Randal Grichuk,St. Louis Cardinals,/ViewCard.cfm/sid/115847/cid/8624919/2016-Topps-656-Randal-Grichuk
2016,666,J.T. Realmuto,Miami Marlins,/ViewCard.cfm/sid/115847/cid/8624929/2016-Topps-666-J.T.-Realmuto
2016,699,Justin Bour,Miami Marlins,/ViewCard.cfm/sid/115847/cid/8624962/2016-Topps-699-Justin-Bour
2017,5,Corey Seager,Los Angeles Dodgers,/ViewCard.cfm/sid/134018/cid/9466086/2017-Topps-5-Corey-Seager
2017,7,Gary Sanchez,New York Yankees,/ViewCard.cfm/sid/134018/cid/9466088/2017-Topps-7-Gary-Sanchez
2017,203,Tyler Naquin,Cleveland Indians,/ViewCard.cfm/sid/134018/cid/9466284/2017-Topps-203-Tyler-Naquin
2017,233,Nomar Mazara,Texas Rangers,/ViewCard.cfm/sid/134018/cid/9466314/2017-Topps-233-Nomar-Mazara
2017,341,Alex Bregman,Houston Astros,/ViewCard.cfm/sid/134018/cid/9466422/2017-Topps-341-Alex-Bregman
2018,1,Aaron Judge,New York Yankees,/ViewCard.cfm/sid/155909/cid/10708028/2018-Topps-1-Aaron-Judge
2018,18,Rafael Devers,Boston Red Sox,/ViewCard.cfm/sid/155909/cid/10708045/2018-Topps-18-Rafael-Devers
2018,42,Cody Bellinger,Los Angeles Dodgers,/ViewCard.cfm/sid/155909/cid/10708069/2018-Topps-42-Cody-Bellinger
2018,118,Ian Happ,Chicago Cubs,/ViewCard.cfm/sid/155909/cid/10708145/2018-Topps-118-Ian-Happ
2018,285,Trey Mancini,Baltimore Orioles,/ViewCard.cfm/sid/155909/cid/10708312/2018-Topps-285-Trey-Mancini
2018,357,Josh Hader,Milwaukee Brewers,/ViewCard.cfm/sid/155909/cid/11364420/2018-Topps-357-Josh-Hader
2018,427,Jordan Montgomery,New York Yankees,/ViewCard.cfm/sid/155909/cid/11364505/2018-Topps-427-Jordan-Montgomery
2018,462,Paul DeJong,St. Louis Cardinals,/ViewCard.cfm/sid/155909/cid/11364553/2018-Topps-462-Paul-DeJong
2018,534,German Marquez,Colorado Rockies,/ViewCard.cfm/sid/155909/cid/11364646/2018-Topps-534-German-Marquez
2018,556,Andrew Benintendi,Boston Red Sox,/ViewCard.cfm/sid/155909/cid/11364676/2018-Topps-556-Andrew-Benintendi
2018,637,Manny Pina,Milwaukee Brewers,/ViewCard.cfm/sid/155909/cid/11364788/2018-Topps-637-Manny-Pina
2019,1,Ronald Acuña Jr.,Atlanta Braves,/ViewCard.cfm/sid/182808/cid/12641753/2019-Topps-1-Ronald-Acuña-Jr.
2019,7,Gleyber Torres,New York Yankees,/ViewCard.cfm/sid/182808/cid/12641759/2019-Topps-7-Gleyber-Torres
2019,97,Harrison Bader,St. Louis Cardinals,/ViewCard.cfm/sid/182808/cid/12641849/2019-Topps-97-Harrison-Bader
2019,132,Miguel Andujar,New York Yankees,/ViewCard.cfm/sid/182808/cid/12641884/2019-Topps-132-Miguel-Andujar
2019,213,Juan Soto,Washington Nationals,/ViewCard.cfm/sid/182808/cid/12641965/2019-Topps-213-Juan-Soto
2019,250,Shohei Ohtani,Los Angeles Angels,/ViewCard.cfm/sid/182808/cid/12642002/2019-Topps-250-Shohei-Ohtani
2019,332,Ryan O'Hearn,Kansas City Royals,/ViewCard.cfm/sid/182808/cid/12642084/2019-Topps-332-Ryan-O'Hearn
2019,432,Ryan Yarbrough,Tampa Bay Rays,/ViewCard.cfm/sid/182808/cid/13161032/2019-Topps-432-Ryan-Yarbrough
2019,445,Walker Buehler,Los Angeles Dodgers,/ViewCard.cfm/sid/182808/cid/13161049/2019-Topps-445-Walker-Buehler
2019,451,Jorge Alfaro,Miami Marlins,/ViewCard.cfm/sid/182808/cid/13161057/2019-Topps-451-Jorge-Alfaro
2019,467,A.J. Minter,Atlanta Braves,/ViewCard.cfm/sid/182808/cid/13161075/2019-Topps-467-A.J.-Minter
2019,562,Willy Adames,Tampa Bay Rays,/ViewCard.cfm/sid/182808/cid/13161192/2019-Topps-562-Willy-Adames
2019,600,Shohei Ohtani,Los Angeles Angels,/ViewCard.cfm/sid/182808/cid/13161243/2019-Topps-600-Shohei-Ohtani
2020,49,Eloy Jimenez,Chicago White Sox,/ViewCard.cfm/sid/209948/cid/14198201/2020-Topps-49-Eloy-Jimenez
2020,168,Fernando Tatis Jr.,San Diego Padres,/ViewCard.cfm/sid/209948/cid/14198355/2020-Topps-168-Fernando-Tatis-Jr.
2020,182,Vladimir Guerrero Jr.,Toronto Blue Jays,/ViewCard.cfm/sid/209948/cid/14198376/2020-Topps-182-Vladimir-Guerrero-Jr.
2020,276,Yordan Alvarez,Houston Astros,/ViewCard.cfm/sid/209948/cid/14198494/2020-Topps-276-Yordan-Alvarez
2020,324,Mike Soroka,Atlanta Braves,/ViewCard.cfm/sid/209948/cid/14198558/2020-Topps-324-Mike-Soroka
2020,350,Pete Alonso,New York Mets,/ViewCard.cfm/sid/209948/cid/14198592/2020-Topps-350-Pete-Alonso
2020,491,Will Smith,Los Angeles Dodgers,/ViewCard.cfm/sid/209948/cid/14727570/2020-Topps-491-Will-Smith
2020,500,Nick Anderson,Tampa Bay Rays,/ViewCard.cfm/sid/209948/cid/14727581/2020-Topps-500-Nick-Anderson
