name,type,first_card,price,own,lot_name
John Smoltz,first_ballot,1989,1.25,1,flanders_estate_sale
Randy Johnson,first_ballot,1989,2,1,mahwah_sale
Gary Sheffield,vet_or_other,1989,0.6,1,original
Edgar Martinez,bbwaa,1990,1,1,niantic_rubbermaids
Larry Walker,bbwaa,1990,1.5,1,original
Frank Thomas,first_ballot,1990,2,1,original
Ken Griffey Jr,first_ballot,1990,3.9,1,ebay_90_griffey
Albert Belle,vet_or_other,1990,0.25,1,original
Curt Schilling,vet_or_other,1990,1,1,niantic_rubbermaids
Juan Gonzalez,vet_or_other,1990,1,1,klively_lot
Omar Vizquel,vet_or_other,1990,0.25,1,klively_lot
Sammy Sosa,vet_or_other,1990,3,1,jodysvintage_lot
Chipper Jones,first_ballot,1991,4,1,original
David Justice,vet_or_other,1991,0.99,1,1991_topps_box
Jeff Bagwell,bbwaa,1992,0.99,1,original
Mike Mussina,bbwaa,1992,0.93,1,original
Ivan Rodriguez,first_ballot,1992,1.5,1,jodysvintage_lot
Jim Thome,first_ballot,1992,2,1,staten_island_estate_sale
Kenny Lofton,vet_or_other,1992,0.75,1,original
Manny Ramirez,vet_or_other,1992,1.99,1,original
Mike Piazza,bbwaa,1993,1.5,1,niantic_rubbermaids
Trevor Hoffman,bbwaa,1993,1.15,1,niantic_rubbermaids
Derek Jeter,first_ballot,1993,20,1,original
Pedro Martinez,first_ballot,1993,1.5,1,niantic_rubbermaids
Carlos Delgado,vet_or_other,1993,1.5,1,niantic_rubbermaids
Billy Wagner,vet_or_other,1994,1,1,nutley_rummage_sale
Raul Mondesi,vet_or_other,1994,0.32,1,lot_92_94
Vladimir Guerrero,bbwaa,1996,5.75,1,alyssa_stars
Andruw Jones,vet_or_other,1996,5.75,1,alyssa_stars
Scott Rolen,vet_or_other,1996,0.5,1,alyssa_120_more
Todd Helton,vet_or_other,1996,3,1,alyssa_stars
Mariano Rivera,first_ballot,1997,0.35,1,ebay_alyssa
Adrian Beltre,first_ballot,1998,0.3,1,waxpax_lot
David Ortiz,first_ballot,1998,2.5,0,
